1,498,502,503,501,504,497,495,498,499,503,499,503,502,502,498,496,503,496,498,500,504,499,499,507,502,499,501,501,502,502,500,502,501,498,496,501,504,502,497,497,502,505,503,499,499,507,510,499,500,502,506,503,495,503,502,505,500,501,499,498,499,503,498,506,499,504,505,503,500,503,503,500,506,503,504,496,499,503,502,495,498,502,501,499,504,501,498,506,500,497,498,502,500,502,501,501,500,500,508,505,500,501,503,497,504,509,499,497,506,505,505,500,499,496,498,499,504,502,506,500,498,494,500,503,497,505,499,501,
9,502,499,502,503,509,502,507,505,504,501,504,499,499,501,504,506,499,501,502,505,507,501,499,507,498,499,495,496,509,499,502,498,501,498,504,500,497,505,500,500,507,501,502,497,499,499,495,496,497,507,499,502,500,498,505,503,503,499,501,501,506,494,502,504,500,496,500,503,500,502,505,500,502,500,499,503,503,501,496,500,501,504,498,503,502,503,503,504,501,503,501,501,499,504,498,503,497,506,501,497,504,501,503,505,503,499,502,498,502,502,507,499,506,505,507,504,500,506,506,502,500,502,503,505,504,503,503,504,
17,500,504,502,502,495,509,504,503,500,500,502,498,507,507,507,499,497,502,501,504,501,505,503,503,502,504,506,503,497,507,500,506,499,502,497,498,503,499,500,500,501,505,502,501,503,498,497,500,503,497,498,499,494,498,501,494,499,503,500,504,504,505,500,503,503,504,503,497,503,501,507,493,501,504,498,504,504,502,500,504,505,501,498,503,502,506,503,499,494,500,500,499,500,500,503,499,504,504,498,503,502,502,495,495,507,502,500,504,500,506,498,494,502,503,499,505,503,501,493,500,506,498,498,495,501,495,499,505,
25,499,506,498,505,498,504,502,500,499,499,499,507,505,497,501,504,494,503,505,501,497,499,499,498,504,500,506,500,497,505,498,501,501,496,499,500,505,504,500,499,505,498,496,499,503,511,496,503,506,500,510,505,503,502,493,505,495,504,502,496,500,500,500,494,506,501,500,502,499,506,501,502,500,501,504,498,496,499,502,501,500,502,504,503,502,494,496,497,507,501,499,502,502,500,507,500,501,495,501,502,497,501,505,499,499,503,500,503,499,497,499,503,498,501,503,495,496,503,504,497,501,500,497,500,499,497,498,500,
33,499,498,503,501,501,498,499,498,497,501,505,503,497,499,501,500,502,494,497,504,500,502,497,504,497,498,505,503,502,498,497,498,507,500,501,500,498,498,502,502,502,503,505,501,502,502,507,499,500,503,495,496,504,505,501,503,505,497,501,503,505,504,497,501,494,498,504,498,503,500,504,504,504,496,503,503,503,502,497,501,502,506,502,499,504,500,503,496,503,503,500,501,503,502,503,496,503,499,501,500,500,492,498,505,506,506,498,498,501,495,504,504,501,499,499,505,497,502,503,504,501,493,500,504,502,499,502,497,
41,505,499,501,498,499,501,504,506,501,500,499,495,498,502,502,504,505,503,497,505,503,502,503,503,504,500,497,497,504,495,506,504,498,500,498,502,501,504,504,506,498,500,502,503,500,498,505,501,501,499,494,501,500,503,504,499,508,503,506,503,500,500,501,506,501,507,501,501,494,495,507,505,498,502,501,501,499,499,505,501,498,503,498,499,499,502,499,499,501,499,502,502,505,503,496,503,498,501,500,505,504,507,503,498,505,502,500,501,503,505,499,496,507,505,494,507,501,499,501,501,504,503,503,505,498,503,495,499,
49,498,500,500,498,504,497,501,501,495,502,501,501,500,503,503,508,503,504,501,500,501,498,503,502,499,497,503,504,502,502,502,502,506,504,503,505,506,502,499,497,509,491,498,501,501,500,501,500,507,502,509,504,500,504,505,499,497,505,497,498,504,505,504,502,505,505,506,500,501,506,504,497,499,498,499,506,505,503,502,498,507,498,500,501,503,504,498,506,499,502,496,499,504,497,504,506,505,501,494,499,498,505,506,503,500,493,507,496,505,502,497,498,503,496,501,502,501,506,500,498,497,499,501,487,501,501,505,506,
57,499,505,503,502,500,502,502,502,505,501,502,503,508,501,496,498,499,499,502,503,499,499,497,498,504,506,496,499,500,507,501,500,510,499,501,495,503,499,499,502,502,502,506,503,503,501,497,502,505,497,501,503,509,498,503,499,501,502,501,498,499,498,507,504,499,500,498,506,504,502,497,498,502,500,501,497,508,503,502,501,492,495,502,502,505,501,503,501,503,505,500,498,496,500,501,500,500,504,505,493,499,499,500,506,497,502,500,503,505,501,509,502,499,500,502,499,498,503,500,500,500,499,499,508,495,498,501,501,
65,502,501,503,500,498,500,499,501,506,502,498,503,499,500,507,500,500,499,500,504,502,504,501,500,498,500,497,498,493,503,500,499,498,500,504,506,502,499,507,500,500,503,498,504,500,499,498,501,499,499,494,502,503,500,498,503,502,495,502,503,501,502,499,501,497,494,501,497,506,498,504,507,501,507,503,500,498,500,502,502,504,504,503,499,502,500,504,503,501,506,501,499,508,508,501,504,501,501,505,506,499,504,505,498,505,501,492,501,500,501,496,503,501,498,500,497,501,504,505,507,502,503,502,504,499,502,493,498,
73,505,495,502,502,500,498,503,508,492,503,505,503,496,505,499,499,498,498,504,496,496,502,502,499,505,501,509,502,501,495,495,498,499,500,504,505,501,504,501,502,498,504,497,500,500,506,498,498,501,502,499,501,496,506,498,506,505,504,497,505,502,496,501,501,505,500,504,505,500,499,508,501,495,496,500,501,502,498,495,505,506,506,504,500,495,506,499,498,503,502,499,501,503,503,498,503,503,496,501,501,504,501,502,503,502,498,507,502,505,503,496,508,500,501,497,501,502,502,502,503,504,502,504,501,503,499,503,498,
81,493,500,501,500,495,503,501,498,499,503,502,504,505,500,498,499,505,503,500,500,497,498,503,503,501,499,500,500,503,503,506,504,497,498,503,497,498,505,497,500,501,506,506,499,505,505,500,501,502,502,504,495,499,507,499,501,504,502,499,496,505,500,498,501,499,501,497,504,499,501,501,502,499,498,501,501,501,503,504,494,503,497,497,501,502,498,502,501,494,501,507,504,499,492,500,500,500,500,499,499,500,498,500,501,498,498,505,500,499,499,500,499,499,503,503,504,501,502,499,498,496,500,499,495,496,501,502,505,
