1,496,501,497,509,504,501,497,503,502,505,497,505,499,499,495,503,503,499,497,499,503,502,502,495,493,506,496,507,506,506,506,499,503,510,501,498,501,502,498,500,498,501,502,500,508,502,503,495,500,500,495,504,500,504,500,498,502,501,505,507,500,498,505,498,502,499,498,501,504,491,504,503,499,499,496,503,502,498,499,502,504,497,501,496,500,501,504,499,500,501,503,502,503,506,500,500,503,503,500,496,506,504,498,502,502,504,496,502,501,501,495,505,500,504,506,503,503,509,505,503,500,501,499,495,496,500,509,494,
9,503,502,502,497,499,497,506,504,504,503,502,501,503,500,504,497,499,501,506,504,504,503,501,506,503,498,502,496,493,499,499,502,501,496,499,499,500,498,502,500,506,504,500,500,502,502,500,497,503,503,501,499,507,499,499,510,505,503,502,498,498,504,493,502,502,502,504,507,498,506,500,500,499,501,505,500,502,501,500,505,505,507,503,502,504,499,501,499,499,499,496,500,502,497,501,500,498,503,503,502,501,501,505,499,502,500,498,501,505,505,507,499,502,502,501,500,502,497,497,502,505,502,502,499,504,506,506,500,
17,499,502,505,501,505,503,501,495,500,502,503,500,499,501,504,498,501,500,500,495,494,499,500,504,504,504,501,498,501,498,498,499,499,496,503,503,501,507,506,499,502,505,502,498,499,505,498,501,502,502,495,498,498,505,503,498,498,495,504,499,500,502,499,502,499,500,507,500,495,501,498,500,503,501,507,497,504,501,502,500,499,498,496,503,504,502,498,504,498,501,507,504,501,498,504,500,498,500,502,498,500,500,501,506,496,501,503,500,502,505,504,503,497,501,502,504,501,501,504,503,503,502,501,502,505,498,498,510,
25,499,499,501,500,500,503,502,505,495,499,502,499,499,502,497,505,500,500,495,504,503,499,503,501,502,504,503,503,506,501,507,498,503,506,501,503,501,499,501,498,494,496,504,499,503,498,497,501,502,496,502,500,497,500,499,499,502,501,500,498,505,504,506,497,500,500,502,496,499,500,500,502,496,503,501,504,498,497,500,495,498,499,504,502,500,503,507,501,505,503,498,499,500,503,501,501,497,499,501,504,499,506,500,500,498,500,500,501,501,499,502,502,501,502,498,499,501,504,498,504,500,498,504,502,503,501,501,493,
33,500,503,500,501,497,501,505,508,497,500,499,503,499,497,498,496,503,499,504,500,503,506,505,502,494,499,498,500,499,505,505,505,499,505,500,506,498,506,494,504,506,498,499,500,500,501,506,497,501,506,502,498,507,504,501,497,505,502,501,503,506,505,498,502,507,505,502,504,502,500,504,507,501,497,501,502,502,505,498,501,504,499,496,501,498,500,499,498,494,500,502,501,500,496,495,501,502,494,501,497,498,504,502,505,502,500,501,502,499,500,504,499,500,506,500,501,503,500,499,502,502,502,497,501,500,506,502,497,
41,505,502,499,507,503,498,498,503,500,504,499,498,502,499,503,503,502,500,500,500,496,500,500,498,502,496,500,511,500,499,495,501,497,505,504,502,495,496,505,504,502,499,504,504,506,501,499,500,505,503,496,505,501,502,501,505,499,496,503,502,493,496,504,503,501,504,498,505,501,497,506,497,500,501,500,502,496,500,502,503,498,501,500,503,499,499,490,501,501,503,499,502,502,499,502,498,503,501,499,502,504,498,501,499,498,501,501,503,497,509,505,502,496,504,501,500,504,499,501,502,502,505,508,496,496,503,499,497,
49,502,505,504,493,503,499,497,497,505,502,502,505,503,502,503,507,501,505,498,504,504,498,502,501,501,500,503,493,498,499,506,500,501,499,503,500,504,501,508,500,500,502,505,501,502,502,497,504,493,500,504,502,492,498,497,501,498,497,501,503,500,500,507,506,502,498,502,498,500,501,504,497,507,500,500,495,503,502,502,499,499,502,505,505,508,503,503,501,496,501,508,500,505,503,505,498,498,500,501,500,500,499,497,498,498,499,505,496,506,500,502,496,502,499,500,502,500,503,503,498,501,496,503,506,505,496,502,503,
57,498,497,503,505,503,503,497,502,500,504,502,500,500,497,503,502,497,501,495,498,501,504,500,497,500,502,495,501,506,500,502,504,506,501,498,498,502,501,497,505,500,503,496,500,500,501,502,501,501,496,499,495,503,497,499,496,500,507,506,501,504,504,496,494,496,500,499,499,504,501,499,501,498,499,498,500,502,502,499,498,497,500,499,499,497,502,501,505,504,503,498,500,502,505,499,497,498,499,500,497,505,506,507,499,505,498,506,498,501,500,504,502,505,501,497,503,497,506,503,501,499,495,499,505,497,504,501,509,
65,501,501,498,504,504,497,505,501,498,505,496,496,498,500,500,497,497,496,502,502,508,503,499,506,500,499,497,506,502,498,502,502,504,497,501,502,497,502,504,498,502,505,500,500,496,502,502,502,505,498,503,506,499,500,498,499,507,498,500,500,499,501,503,500,504,498,499,507,507,505,494,503,497,497,503,506,496,502,502,506,506,504,500,496,501,501,501,504,503,503,495,508,495,497,503,506,503,506,501,501,501,501,506,498,494,499,498,504,499,501,501,501,498,499,498,497,499,504,505,498,500,496,501,505,496,504,500,496,
73,500,503,502,507,500,504,505,500,504,498,504,503,507,506,501,497,506,505,502,501,503,500,494,503,499,500,501,500,495,500,501,498,497,501,496,499,503,501,498,498,503,499,500,503,505,497,503,500,499,504,502,506,498,501,501,504,504,501,499,504,506,501,502,503,501,500,505,504,498,500,503,503,502,504,503,503,497,503,505,496,504,500,500,504,499,498,499,505,493,502,504,495,502,502,500,498,505,499,501,509,504,502,500,502,496,503,503,502,502,508,496,504,503,506,503,502,505,501,502,499,502,503,503,499,501,500,505,501,
