1,499,502,501,502,498,502,500,500,503,500,503,499,499,499,499,502,505,502,503,501,502,500,501,502,500,500,502,496,502,505,496,495,499,501,504,499,503,499,502,502,501,501,502,502,500,502,499,503,501,501,504,500,500,504,502,500,501,496,504,504,499,497,502,501,500,499,499,499,500,505,499,499,498,500,502,502,501,502,498,499,504,501,500,504,499,503,500,504,503,504,502,502,499,501,500,500,499,502,501,502,499,501,500,501,501,498,502,503,497,501,504,506,501,500,500,500,502,499,502,501,500,504,503,503,504,500,504,503,498,500,505,498,498,504,499,501,503,501,502,499,500,499,498,499,500,503,499,501,500,499,499,502,506,499,500,498,505,502,504,501,498,501,501,503,497,505,502,501,501,499,504,503,502,503,496,503,501,500,500,500,497,502,497,502,499,499,501,500,500,501,504,501,503,500,503,499,501,501,502,504,498,500,503,502,497,498,502,498,499,500,500,504,499,499,499,500,500,503,498,500,504,504,497,501,503,502,499,501,503,503,499,501,500,502,503,503,499,500,499,499,503,503,500,499,502,501,503,499,498,502,497,497,501,501,502,504,500,499,501,502,502,500,502,500,502,499,498,500,501,499,502,505,501,506,497,503,501,501,500,501,498,500,498,499,499,503,500,501,501,503,505,502,500,503,499,503,501,503,503,504,501,499,500,503,502,501,503,502,503,505,502,504,500,501,504,500,502,501,502,497,498,504,501,500,504,502,503,501,503,499,501,500,502,505,496,503,505,501,501,504,499,501,503,500,501,500,500,500,502,499,503,497,503,499,504,499,500,501,499,497,501,505,500,502,500,502,501,500,498,501,500,501,501,502,502,500,500,501,501,500,500,502,501,499,498,502,503,502,501,502,501,501,501,500,502,501,504,503,502,499,501,500,500,502,503,505,503,499,496,503,498,503,499,500,504,507,500,504,502,503,502,501,503,503,500,500,503,499,498,499,503,499,502,501,497,504,500,500,504,502,500,500,499,504,500,500,502,498,503,500,497,501,502,500,498,501,499,504,502,504,501,503,503,502,501,504,505,502,499,504,503,501,504,502,502,499,504,504,499,500,503,504,503,501,495,500,500,501,504,501,501,503,502,501,505,504,500,504,498,499,501,499,503,501,498,502,501,498,504,504,502,501,
3,501,502,501,501,501,502,505,503,503,501,505,497,496,501,501,504,499,496,501,503,502,503,501,500,500,501,500,500,500,504,498,501,499,501,502,504,501,500,501,500,500,501,504,499,496,499,500,500,498,501,503,501,499,503,499,500,502,503,500,497,504,502,503,501,499,504,496,501,503,500,498,504,499,506,503,498,498,501,501,501,497,504,500,507,502,502,499,500,500,501,504,501,504,500,498,500,501,502,504,501,501,498,498,499,504,501,501,499,503,501,501,502,502,500,499,505,501,499,504,500,505,502,504,501,497,500,498,502,502,501,502,502,503,502,500,501,501,505,504,498,499,498,500,503,503,501,502,497,502,502,502,502,503,500,498,501,501,505,499,500,499,505,499,501,501,498,501,499,503,500,504,502,503,499,502,501,500,499,504,503,499,501,502,500,502,501,503,504,501,504,505,504,503,501,505,501,499,502,502,501,505,500,507,504,502,499,504,501,503,500,500,502,500,498,504,501,499,500,502,500,503,499,499,500,500,500,503,503,500,500,501,502,502,499,501,501,498,500,503,499,506,498,498,501,500,496,502,500,506,506,500,499,499,499,501,502,504,498,503,504,503,499,497,504,503,499,500,500,501,502,501,503,505,502,507,499,500,504,501,502,504,500,502,499,502,502,501,500,502,497,500,502,504,507,504,498,503,501,502,501,496,504,498,502,500,501,502,502,496,503,500,498,500,501,503,501,498,501,501,501,502,500,503,502,503,498,499,502,500,504,494,499,497,502,502,501,499,500,503,500,501,502,498,501,501,502,504,500,501,497,500,502,506,508,503,501,504,499,498,500,496,501,500,500,498,505,502,501,503,501,499,498,501,499,503,503,500,501,500,501,501,501,498,501,499,499,499,505,501,500,503,501,498,500,504,501,502,506,496,502,504,503,501,494,504,499,498,503,500,499,503,500,497,504,502,504,503,504,500,502,502,501,504,507,499,501,504,501,498,504,506,505,498,501,498,506,503,502,507,501,500,501,504,504,499,495,500,499,499,498,502,499,500,501,504,496,502,504,499,501,499,502,501,502,501,500,499,503,500,503,501,497,499,502,502,500,500,499,501,501,499,500,501,496,506,499,501,501,498,503,501,502,498,500,501,502,505,499,500,500,502,501,501,499,501,500,497,502,500,498,503,503,
5,501,504,502,503,500,500,502,507,502,503,498,500,500,504,501,496,500,500,501,500,503,500,506,501,499,500,502,500,501,500,500,501,502,501,497,500,499,501,503,505,500,503,505,500,503,499,501,501,506,502,501,499,500,499,501,500,498,501,499,501,503,501,502,499,504,505,500,495,502,501,500,501,501,500,503,500,499,498,504,500,498,497,496,501,502,500,502,500,502,496,499,502,500,501,502,499,500,501,499,500,501,501,503,499,500,504,501,499,501,501,503,496,496,503,502,498,500,499,499,499,500,499,503,501,502,502,502,500,503,499,502,499,504,501,504,502,501,501,504,500,502,501,498,500,504,500,503,502,504,504,504,500,507,503,503,499,504,501,503,500,500,499,498,500,502,502,498,499,501,497,503,499,502,502,500,497,501,501,500,503,500,501,501,503,498,500,500,502,497,501,503,497,502,502,501,502,499,498,498,499,498,500,499,502,502,502,503,502,505,501,499,503,499,499,498,501,498,502,503,501,503,498,502,499,502,499,506,504,504,498,500,501,501,504,499,503,499,500,499,500,498,505,503,500,503,501,500,498,502,502,500,505,505,498,502,501,499,498,501,504,497,498,504,500,501,501,499,498,501,502,503,497,502,500,501,501,501,504,503,500,500,502,499,501,502,505,503,500,498,499,502,502,504,500,501,502,503,502,500,502,499,502,501,507,500,501,505,499,496,503,502,502,499,500,500,499,500,504,503,502,504,496,502,500,500,501,500,499,500,502,505,500,500,501,502,501,504,500,505,496,503,501,500,500,504,502,505,503,501,501,505,499,501,500,502,501,502,501,501,498,501,501,502,501,502,503,502,501,498,500,498,499,497,505,498,501,500,503,502,503,503,503,504,502,500,503,499,500,501,502,502,501,499,501,501,501,506,502,502,500,500,501,499,498,502,502,501,500,499,503,500,501,504,503,503,503,498,499,501,502,499,499,499,504,500,500,502,500,501,501,501,500,498,500,500,503,497,506,504,498,504,501,500,499,502,503,498,497,497,502,504,501,500,503,500,501,503,504,502,501,501,506,503,502,501,503,505,502,501,500,503,503,503,501,499,500,499,506,502,503,497,502,500,502,504,500,503,500,498,503,501,501,498,499,502,501,503,503,501,498,503,503,505,501,498,502,502,503,499,501,500,500,
7,502,505,502,502,500,500,501,502,500,498,501,501,497,498,497,499,501,498,496,504,499,501,502,505,500,502,500,502,499,499,503,500,501,503,500,503,500,501,504,501,498,502,501,504,503,504,500,502,502,503,501,502,501,500,501,503,504,501,502,498,500,500,502,505,501,502,503,501,501,505,501,502,504,499,499,501,503,501,503,501,503,506,501,497,502,500,501,500,500,497,500,501,502,503,500,506,501,501,502,499,503,501,503,499,501,505,499,500,500,503,503,499,505,500,498,501,501,503,501,498,503,499,498,503,498,499,499,502,500,501,499,501,504,504,501,503,499,506,503,503,504,507,502,499,500,501,498,500,500,499,500,501,503,509,501,503,501,502,501,499,498,502,502,505,501,500,499,498,500,506,504,499,502,502,502,500,504,501,502,506,499,497,499,501,500,500,504,502,501,500,499,500,504,500,498,504,504,501,499,500,502,500,500,501,503,501,502,506,504,500,503,500,502,504,502,502,502,499,499,503,504,503,502,503,498,505,502,500,499,500,499,499,503,505,504,500,504,501,502,500,499,504,499,499,503,500,501,502,504,501,502,501,500,503,502,499,504,501,501,500,503,503,501,504,500,502,506,504,500,502,498,500,501,500,502,499,500,497,500,501,498,503,501,500,504,501,500,501,497,503,501,504,505,499,507,502,504,499,498,502,504,501,501,500,499,505,501,499,498,501,500,505,502,499,500,503,502,502,500,501,503,500,502,500,501,500,502,501,499,501,499,501,496,500,503,501,504,502,500,503,502,498,499,501,503,501,500,504,502,505,503,500,501,503,505,500,503,501,503,499,500,501,500,506,503,505,499,500,503,500,505,497,502,501,501,499,500,501,499,505,497,498,504,501,502,501,499,498,500,497,502,499,501,499,508,498,504,497,501,500,498,500,500,503,497,501,502,501,504,499,503,496,503,506,501,497,501,502,501,501,500,504,502,500,500,504,500,500,501,505,501,505,501,502,504,501,503,502,504,500,502,502,503,499,501,500,502,498,505,501,502,503,500,497,501,503,503,505,501,502,499,501,500,503,501,502,500,502,500,501,504,502,502,502,499,503,501,500,498,497,501,496,502,500,500,501,502,502,498,504,499,502,502,502,505,502,500,501,499,502,499,499,502,500,501,500,500,501,502,503,503,502,
9,502,498,503,498,503,500,501,500,499,501,502,500,500,502,499,500,500,501,505,498,501,501,499,505,505,501,501,505,502,500,501,504,502,497,502,500,500,498,498,501,502,494,499,504,501,502,502,501,501,499,502,498,499,498,500,500,505,499,502,503,500,500,500,505,501,501,504,503,501,501,501,504,500,496,498,499,497,499,499,503,499,501,500,503,503,498,496,500,503,506,497,501,503,503,501,505,499,502,496,501,500,500,503,501,501,498,501,502,502,500,502,499,504,500,499,500,502,505,502,499,499,505,498,500,501,504,499,500,499,500,500,499,501,503,502,500,502,504,501,500,501,498,505,502,502,503,503,501,502,502,502,505,500,503,501,495,504,495,499,504,500,503,500,496,497,498,499,500,497,501,498,501,503,501,497,503,500,499,504,501,497,504,498,500,499,499,502,502,504,500,500,499,500,501,504,503,506,503,501,502,503,501,501,501,502,502,501,507,501,500,500,500,503,501,500,505,502,502,500,503,495,502,504,501,497,503,499,502,503,503,499,500,501,495,502,497,502,500,505,503,502,501,498,502,499,503,497,500,499,500,500,500,501,502,503,499,496,503,501,501,494,498,500,502,497,500,502,506,501,499,500,502,501,502,502,505,499,500,502,506,502,500,499,500,503,500,501,500,503,497,499,504,502,501,503,504,504,502,502,503,501,501,503,501,501,503,505,503,500,500,498,501,502,503,499,502,498,498,504,501,502,500,502,502,497,501,498,501,502,504,504,500,500,498,500,499,504,501,499,501,497,501,504,502,500,502,500,503,499,500,500,501,498,501,504,502,501,502,501,500,500,499,499,501,503,503,500,501,502,501,502,502,502,501,501,500,502,503,505,501,500,499,503,502,501,503,504,500,504,501,500,500,501,503,501,503,498,499,498,505,499,502,502,500,503,501,501,505,501,498,502,495,501,500,501,504,499,497,499,501,500,504,503,498,502,506,500,500,501,501,498,502,499,501,503,501,504,498,502,501,502,503,501,501,498,502,502,504,499,500,500,501,503,500,500,503,501,497,500,501,504,501,499,501,503,499,500,501,501,502,504,502,498,498,499,499,506,505,502,502,502,498,504,501,497,500,498,501,500,502,504,502,499,500,498,498,498,501,502,506,499,497,500,500,501,502,500,502,498,502,507,503,
11,501,500,500,498,502,500,500,499,500,503,497,503,499,505,501,502,501,501,500,498,500,500,499,502,499,501,498,503,502,501,502,499,500,501,500,503,501,502,505,501,499,500,498,498,502,506,504,504,500,502,504,503,498,501,501,504,499,501,501,500,499,501,502,500,499,499,504,500,499,498,501,498,504,500,504,503,501,501,503,502,504,502,498,499,501,501,501,503,500,505,502,500,503,500,501,503,500,500,498,501,502,499,501,500,505,499,502,498,502,501,500,503,503,503,501,502,503,499,499,499,504,501,498,499,504,500,501,499,498,500,504,506,500,499,496,503,501,502,497,501,502,502,506,498,502,502,500,505,502,504,507,502,502,499,502,501,503,500,499,499,502,499,502,501,499,499,502,500,499,501,500,500,500,500,502,501,499,503,502,504,502,501,498,504,501,499,498,500,502,501,504,502,500,500,502,500,502,501,504,502,503,505,499,498,503,497,502,502,501,501,501,496,504,506,500,504,501,503,503,501,495,500,503,499,500,499,501,502,502,502,502,498,505,498,499,498,505,504,503,503,502,502,504,504,502,501,498,500,500,498,506,501,502,501,501,500,498,499,501,502,499,501,503,503,506,503,503,501,500,500,500,499,502,500,504,499,501,501,503,499,501,505,500,505,499,499,501,501,503,500,505,504,500,498,504,501,500,499,501,505,499,497,499,497,504,503,503,502,504,501,503,496,498,504,503,500,500,504,503,501,494,500,498,501,501,498,500,500,502,502,505,506,501,501,504,503,502,505,501,504,502,503,504,500,497,499,500,498,501,499,506,500,500,501,507,498,501,499,500,502,498,501,501,501,501,499,503,502,501,500,503,504,502,504,499,500,503,500,499,500,504,501,501,504,502,497,500,504,503,502,496,501,500,502,498,504,504,501,499,500,498,503,501,504,503,502,499,505,504,504,499,501,500,498,499,500,504,499,502,500,503,501,500,501,502,501,497,503,500,497,502,500,502,503,501,495,501,501,502,501,502,504,501,501,500,502,498,500,502,499,504,506,502,501,499,503,504,501,498,499,501,500,502,502,498,500,500,501,506,501,503,501,499,503,501,501,498,501,501,497,499,504,506,501,502,505,502,502,504,502,504,502,500,503,503,502,499,503,505,502,500,499,502,504,501,499,505,500,502,499,500,502,
13,500,500,500,502,500,503,496,501,503,501,502,504,501,502,500,502,495,505,500,499,505,498,500,499,499,498,502,502,501,502,501,496,503,499,502,501,504,504,501,499,499,504,502,500,500,500,501,498,501,500,502,503,500,502,502,505,505,502,501,505,501,499,503,501,502,496,502,494,499,504,501,503,501,502,502,498,501,502,501,505,497,500,504,499,500,504,502,503,501,501,503,505,500,500,502,497,501,501,501,503,503,501,499,503,501,500,504,502,500,501,502,502,499,501,499,499,505,504,501,500,501,501,502,502,499,499,500,496,502,500,500,505,502,503,502,499,500,501,501,499,502,499,500,501,500,501,502,500,497,501,501,502,500,502,500,504,501,504,501,504,502,502,502,501,500,499,505,498,504,499,503,500,501,500,500,501,499,503,503,503,502,497,501,504,501,500,500,498,503,502,504,502,500,496,502,500,502,498,500,503,503,503,504,501,501,500,502,503,496,504,500,502,504,500,500,498,502,503,505,498,500,502,502,503,502,499,501,502,502,501,497,500,499,500,504,501,502,504,498,503,504,501,498,500,501,499,502,501,501,499,500,503,499,504,502,500,499,505,505,501,501,502,503,501,500,497,501,506,502,500,499,505,503,503,502,502,502,500,503,501,504,506,503,503,499,499,502,503,504,502,499,504,503,504,501,500,503,501,503,502,505,501,500,503,501,504,500,500,502,500,500,501,501,502,504,501,502,503,499,500,501,506,502,499,502,498,498,500,498,499,502,499,503,504,499,501,499,498,498,500,504,502,499,500,502,506,499,501,503,502,502,499,499,500,504,505,500,506,501,499,504,502,502,502,503,499,505,499,503,504,503,503,502,501,502,503,502,503,505,499,503,502,500,504,502,502,501,501,497,503,501,501,499,498,499,500,502,501,495,502,502,501,502,499,503,499,501,501,499,504,495,499,502,502,504,499,497,500,500,498,500,499,502,503,500,502,500,499,501,502,501,502,501,501,501,499,501,501,497,500,500,497,499,506,505,506,502,504,499,501,503,505,501,495,499,505,496,502,498,498,504,503,500,499,499,503,500,499,501,501,501,499,504,503,498,504,506,501,502,499,500,501,503,502,502,499,501,505,502,498,503,505,497,502,501,499,500,499,499,499,504,503,499,504,501,501,505,505,503,501,498,501,
15,496,498,501,500,497,499,500,501,501,503,498,498,500,501,500,502,503,502,502,504,502,497,501,501,498,502,500,502,500,502,500,498,502,504,504,500,501,501,499,502,500,502,499,501,500,499,500,501,499,502,501,501,501,499,503,501,500,502,503,503,505,502,499,503,500,500,496,503,497,500,503,499,499,497,499,505,501,500,503,504,501,500,502,502,504,496,499,501,500,498,500,497,499,501,500,499,504,499,502,496,501,504,499,502,499,502,503,501,503,502,499,503,500,501,499,497,500,503,501,504,501,502,499,498,502,503,506,503,499,500,497,504,500,502,500,498,504,501,498,504,502,502,501,501,501,504,499,501,499,497,497,505,504,500,502,504,499,499,498,503,502,503,497,506,500,502,500,502,504,497,501,500,504,500,500,501,501,502,501,499,500,501,499,501,502,500,501,500,502,499,500,501,499,500,505,500,494,503,499,504,500,501,500,500,501,501,501,499,500,502,500,505,501,499,501,503,502,502,503,499,500,501,503,499,501,499,499,500,502,501,501,497,498,501,502,497,501,503,496,501,500,499,501,505,499,500,500,501,505,504,501,499,499,501,500,499,503,505,503,500,501,503,500,499,503,502,497,502,501,501,504,505,503,502,499,504,506,500,503,500,499,502,501,500,500,501,501,505,502,502,504,501,501,499,498,496,499,500,503,498,501,502,503,505,501,501,503,501,501,499,501,502,498,504,502,500,502,502,502,497,502,499,500,504,503,502,500,504,497,501,501,501,501,503,502,499,503,502,504,498,496,500,504,499,502,502,501,502,499,506,501,503,501,499,501,501,501,501,502,501,505,500,503,503,500,500,504,500,500,499,500,505,501,498,501,502,505,501,502,503,501,507,502,501,503,501,502,501,500,503,502,498,501,502,502,504,504,504,499,499,499,501,504,504,503,502,499,501,502,500,500,502,501,503,502,503,502,501,499,501,503,501,498,505,498,505,499,501,500,505,498,502,503,503,503,504,499,504,501,502,498,499,500,500,503,500,501,504,500,503,500,503,498,502,504,502,500,500,501,501,499,502,501,501,503,492,500,503,498,502,500,503,498,500,500,500,505,500,503,507,499,502,501,499,498,500,501,501,504,501,497,499,502,498,501,502,503,500,502,502,501,502,500,501,504,501,499,499,502,502,501,504,
17,501,499,500,504,501,503,501,502,502,504,503,498,504,499,501,499,503,500,501,503,502,496,500,502,497,503,502,500,501,499,502,500,498,504,501,503,501,502,498,498,498,503,503,498,499,503,503,498,500,500,499,502,499,499,497,501,500,503,498,501,501,501,504,499,504,504,502,502,498,498,500,500,503,505,499,503,504,506,503,502,503,505,499,500,502,499,505,501,501,503,501,498,495,501,502,504,497,502,505,502,501,503,502,503,499,502,502,500,505,502,499,504,502,503,498,501,500,494,501,501,503,504,505,503,504,502,500,505,499,504,502,503,498,502,500,502,501,500,496,503,501,501,498,505,503,501,502,500,502,502,501,500,499,501,500,504,497,499,500,499,502,502,502,502,501,501,504,499,504,502,499,496,502,500,500,500,502,499,499,499,502,501,499,502,499,502,501,499,504,502,503,505,500,502,503,499,495,503,501,498,502,500,502,502,503,501,502,502,499,500,504,500,498,499,498,503,503,503,497,501,500,498,499,500,502,500,501,502,503,502,502,501,502,501,502,500,498,499,502,499,503,499,505,500,502,501,502,502,502,499,500,501,502,501,501,501,503,499,500,500,502,500,499,506,505,498,500,501,500,500,505,499,504,502,501,505,498,503,503,499,502,505,504,509,502,499,502,498,501,504,501,501,501,501,498,499,502,502,500,499,504,500,499,504,497,503,503,497,503,502,500,502,500,502,499,497,503,501,501,503,505,502,503,502,501,502,501,502,502,499,498,500,501,501,505,499,501,504,500,499,500,499,500,497,506,501,504,503,503,501,500,502,500,502,499,503,503,503,502,501,502,498,500,502,500,502,499,504,503,496,496,502,497,498,499,498,503,505,501,499,501,500,501,502,501,501,498,501,501,498,502,502,503,500,497,502,502,504,503,503,502,501,503,498,501,504,496,500,495,497,501,502,498,500,502,504,498,499,503,500,502,501,500,505,498,504,503,499,503,501,503,501,500,499,504,502,501,502,501,503,503,499,502,502,501,500,500,500,500,498,497,501,502,503,503,502,500,502,495,501,504,500,500,503,500,497,502,500,499,503,499,500,502,502,502,499,504,504,503,502,505,503,499,500,502,502,497,499,499,501,499,500,499,501,501,502,501,501,502,502,500,505,500,501,501,501,501,504,503,498,501,502,
19,500,500,498,503,498,503,501,501,500,498,502,499,500,497,502,500,498,498,499,504,499,499,503,501,502,503,502,503,499,503,502,502,501,499,499,499,500,502,501,498,504,501,497,501,498,500,499,503,503,499,498,498,502,501,499,497,501,501,505,498,500,498,501,495,497,500,500,501,499,501,500,499,502,504,499,500,500,499,501,498,503,500,500,504,502,502,500,499,501,500,503,498,497,502,504,502,499,502,503,500,501,504,499,498,500,501,503,498,504,502,500,504,499,502,502,502,500,498,499,502,506,503,500,498,502,499,501,505,502,500,505,502,501,500,501,503,500,501,501,499,502,504,501,502,504,498,503,502,502,500,499,500,501,504,501,500,503,504,503,499,496,501,502,502,502,501,498,508,502,498,502,500,501,503,500,499,507,498,502,496,500,499,499,500,501,500,498,502,500,500,503,501,504,509,503,500,497,499,500,500,498,500,504,501,502,504,497,504,501,500,499,500,501,501,499,499,501,500,500,501,500,497,500,504,500,499,503,503,499,503,500,501,502,498,503,500,499,499,499,498,499,502,500,501,502,500,501,503,502,503,499,505,502,502,499,503,502,502,500,502,500,504,496,500,502,499,499,501,504,499,501,501,504,503,499,499,500,503,500,498,499,497,501,500,501,499,500,496,504,500,501,499,500,501,501,504,500,505,502,502,502,501,499,502,501,507,497,504,498,500,501,499,501,502,498,498,504,499,499,500,502,501,502,502,502,498,500,497,495,499,502,499,499,502,504,501,505,502,499,502,501,503,499,505,501,502,500,503,503,502,504,499,502,502,501,502,500,499,500,500,499,502,499,502,499,502,498,503,502,500,500,499,498,500,503,499,502,499,502,505,504,503,500,498,502,504,498,503,504,497,502,504,500,505,500,502,499,500,500,500,499,501,501,500,495,502,502,498,502,499,504,499,500,502,500,504,500,504,503,500,496,501,500,502,501,503,502,502,502,502,499,500,497,501,499,504,502,501,502,501,502,506,504,504,498,497,499,501,499,500,499,503,503,505,500,503,497,499,506,499,498,497,501,506,501,503,501,502,501,505,497,499,503,503,500,504,496,503,499,503,502,501,500,500,500,496,501,502,501,498,499,502,502,500,502,505,501,504,496,501,503,501,500,501,501,508,502,502,500,507,506,500,
