1,501,502,500,500,500,498,500,499,506,499,502,499,498,495,506,502,497,498,496,502,499,499,502,500,504,502,500,499,502,501,502,501,504,499,497,502,501,500,501,502,496,497,501,498,500,499,500,498,499,504,499,501,503,502,497,503,502,498,500,502,501,500,501,501,502,496,501,502,500,500,500,498,507,502,498,504,500,503,500,499,503,499,498,501,499,497,503,506,498,496,504,504,499,503,501,498,499,499,500,501,500,499,500,496,500,500,499,502,502,502,503,498,502,504,497,503,497,501,501,503,500,502,499,504,497,501,502,503,499,502,505,499,500,501,505,501,500,503,504,498,500,499,498,500,504,504,504,500,503,503,505,502,500,500,500,501,503,504,501,497,503,500,502,501,505,501,498,499,503,499,502,500,502,501,503,498,500,504,497,503,502,502,500,500,497,499,497,506,499,501,502,500,501,501,501,502,497,505,501,504,500,504,500,500,500,501,500,500,503,497,500,498,495,505,504,505,499,504,494,498,498,503,502,497,498,498,498,502,500,496,501,501,502,498,504,497,504,502,504,501,504,499,499,500,499,505,499,502,502,499,500,499,499,497,503,501,
5,498,499,500,503,494,500,498,502,501,500,504,499,498,500,501,504,496,500,501,497,498,504,501,500,504,501,498,498,497,497,500,504,500,498,501,502,499,502,497,497,499,497,499,505,499,502,504,502,495,497,503,504,500,501,499,504,504,502,501,500,503,506,498,503,499,500,499,500,500,504,501,502,502,498,500,502,499,502,505,498,501,503,499,500,503,504,500,505,500,499,503,497,501,499,499,505,499,503,498,499,498,501,500,504,504,505,502,502,501,500,494,500,502,503,506,500,500,497,497,499,502,500,504,506,500,494,498,502,500,505,498,502,500,502,498,501,501,498,502,508,499,501,502,501,506,497,501,500,499,503,500,502,499,503,496,501,501,498,503,497,498,506,502,505,500,500,504,502,498,504,497,502,500,503,499,499,501,500,505,502,503,500,499,505,503,501,506,503,497,502,504,507,501,502,500,503,498,505,500,505,502,504,501,499,503,503,504,499,499,497,502,500,501,501,501,498,501,497,499,500,502,498,500,501,504,501,500,501,499,497,506,501,497,499,501,500,502,503,501,501,504,500,499,502,497,503,504,499,502,503,500,500,499,498,498,503,
9,502,500,499,500,498,503,498,498,501,505,500,504,500,497,498,503,503,500,500,504,500,499,499,498,503,494,504,502,506,504,503,498,501,501,498,504,499,502,497,503,498,497,497,501,501,494,503,501,500,502,502,500,499,501,500,500,505,502,503,502,499,497,502,501,497,507,501,500,502,498,497,501,497,499,501,499,506,497,502,505,501,503,502,499,499,496,499,499,500,499,500,504,502,498,499,498,500,501,503,503,507,499,501,498,500,505,496,499,501,500,502,500,504,503,502,501,503,502,504,503,499,500,504,498,503,500,504,501,503,501,503,502,498,499,502,500,501,494,500,498,502,502,504,502,503,503,498,501,499,503,504,505,502,500,499,499,497,500,501,504,500,503,499,504,500,499,503,497,496,506,503,506,501,502,495,500,497,500,499,499,499,503,504,502,498,498,502,501,498,503,501,499,504,503,504,503,501,501,503,503,501,501,499,505,504,504,500,500,498,501,503,500,499,499,499,503,499,503,503,504,501,500,500,505,502,500,498,500,498,500,504,502,495,503,499,498,499,497,498,497,504,498,501,502,502,501,496,502,507,504,502,500,498,501,497,497,
13,502,501,501,500,501,500,502,500,497,498,498,502,501,503,503,504,499,501,501,502,498,500,497,502,504,500,499,499,500,500,501,500,501,500,502,497,505,497,501,499,501,498,498,501,496,496,503,501,504,503,500,499,497,500,498,500,502,499,500,500,503,500,502,503,503,503,501,499,500,503,502,500,500,499,501,503,501,499,497,504,505,502,503,501,501,502,499,500,496,503,501,500,501,498,499,505,504,500,497,495,502,505,507,500,502,507,501,497,502,501,503,501,502,501,497,501,501,502,501,502,500,503,504,494,503,500,502,499,501,500,498,498,500,502,504,502,498,502,498,499,499,502,500,497,497,500,499,503,502,504,504,497,500,501,503,503,500,499,503,504,498,504,496,500,502,504,501,501,505,500,503,502,508,505,495,506,503,501,502,501,499,501,504,503,504,502,498,501,504,498,501,501,506,503,499,502,501,501,497,497,505,500,498,502,504,504,501,501,503,500,503,497,499,499,501,500,501,499,505,504,502,500,502,502,500,501,496,498,496,503,501,501,505,502,502,508,497,501,495,503,502,496,506,505,498,491,504,503,502,503,501,503,498,506,500,500,
17,502,502,500,503,503,502,498,499,500,496,501,502,499,502,502,497,504,503,503,495,502,505,501,501,503,505,496,504,499,501,505,498,500,498,495,496,502,500,501,498,503,504,503,496,502,498,501,501,505,497,500,500,501,501,502,499,502,500,502,502,501,501,502,501,508,504,502,498,506,504,499,501,504,502,504,502,502,505,502,503,502,500,501,500,501,498,504,501,496,503,501,501,500,505,504,497,503,494,503,502,496,497,503,502,499,499,505,504,497,504,498,504,501,499,501,500,503,500,497,501,502,502,500,501,501,498,501,504,499,498,502,502,500,497,502,497,497,500,501,502,502,498,501,499,503,504,503,504,503,501,498,501,503,498,506,498,501,501,498,503,502,501,502,499,499,499,501,503,503,501,501,499,505,498,499,503,502,503,498,499,503,501,500,501,499,501,498,501,502,499,499,503,501,505,502,500,500,498,500,503,499,501,500,500,499,501,502,499,503,503,499,503,507,505,502,503,506,498,502,504,496,501,500,496,501,499,500,498,498,504,501,498,502,499,501,501,498,499,502,505,503,500,502,501,493,502,504,500,502,500,501,497,501,502,505,504,
21,499,503,503,498,499,499,503,506,504,501,500,502,499,500,498,497,499,498,500,492,501,501,501,501,495,494,496,502,500,499,501,505,501,501,497,501,500,497,499,500,502,503,502,502,504,500,498,504,495,499,501,500,499,501,504,499,498,502,503,502,496,502,500,499,500,504,502,504,499,499,508,501,498,503,500,499,503,499,503,506,502,506,499,501,499,499,501,499,500,504,501,501,504,500,500,504,498,500,505,501,502,498,502,502,506,497,499,501,503,502,500,506,500,498,503,501,497,503,498,495,499,505,501,506,505,498,502,501,497,503,504,503,499,498,500,503,502,502,500,502,500,504,503,502,500,502,501,502,501,500,503,505,494,499,501,503,504,502,496,498,502,498,502,502,496,501,497,501,502,501,502,498,503,503,498,500,501,496,499,499,503,503,499,500,503,504,504,497,502,504,498,500,500,498,500,504,502,500,501,498,501,501,500,500,500,503,503,500,500,503,498,498,502,502,504,503,501,499,504,500,498,502,503,499,501,499,496,506,498,503,503,503,497,497,502,502,497,504,501,501,504,506,499,496,502,502,503,499,493,497,499,501,505,500,498,500,
25,500,501,502,498,501,501,498,499,502,501,500,501,499,498,500,503,502,499,498,502,497,496,507,500,503,507,504,501,497,498,503,505,501,502,499,505,502,500,499,501,498,499,501,504,506,501,498,501,496,500,499,499,501,499,500,503,501,499,498,497,501,502,501,502,505,498,505,500,496,498,502,498,499,502,505,499,500,502,505,500,506,500,499,504,497,502,495,496,501,503,501,498,500,499,501,498,504,500,501,503,499,500,504,501,499,497,505,500,501,496,497,504,502,498,500,501,497,498,502,503,500,505,499,502,500,501,497,502,499,500,499,500,498,508,499,502,503,499,503,501,502,502,503,497,502,500,498,498,498,504,500,506,498,498,500,503,504,499,495,503,499,503,496,502,503,505,504,500,498,498,501,497,503,499,503,503,495,501,501,500,502,502,499,502,499,504,503,496,497,501,496,499,501,499,498,500,499,497,501,499,501,502,504,500,502,501,503,507,501,499,502,506,499,499,501,500,505,499,502,503,498,502,502,507,498,505,502,503,504,500,505,503,496,497,502,500,506,503,504,500,501,503,501,498,501,504,502,502,503,498,502,496,500,503,502,499,
29,503,499,500,499,500,505,500,496,495,500,498,496,500,504,497,502,497,497,500,505,500,499,499,499,500,505,497,498,504,502,499,499,499,502,501,502,503,501,499,505,504,498,500,500,502,500,500,501,499,506,498,495,500,497,499,499,501,502,500,499,498,501,503,503,503,499,498,499,499,500,497,500,500,501,501,500,502,502,499,496,501,501,504,499,504,499,501,503,500,499,501,501,507,499,498,497,497,504,501,500,499,502,499,497,500,504,502,502,501,501,507,502,502,498,496,498,499,504,507,502,499,501,500,501,500,502,497,499,501,498,502,501,499,500,497,500,502,499,499,500,500,498,504,504,498,498,502,496,501,501,507,503,501,500,499,501,499,502,503,502,504,507,502,501,508,502,504,499,501,504,500,505,498,498,500,501,499,502,497,504,498,499,499,499,500,503,503,504,501,501,505,501,504,499,502,500,499,499,502,503,501,500,500,500,499,499,497,501,502,501,501,503,501,502,499,502,503,498,497,500,506,501,503,503,503,500,498,501,500,499,501,500,497,504,502,502,504,499,505,502,507,503,497,496,503,498,500,498,497,501,500,499,502,502,506,501,
33,499,501,502,502,500,502,498,497,500,506,498,503,497,498,502,501,501,499,500,506,501,499,503,504,506,504,501,502,509,507,501,498,501,496,501,498,499,503,499,500,497,501,495,499,496,498,496,498,501,500,501,500,500,498,499,503,496,502,498,500,499,503,505,501,496,501,498,504,501,501,498,501,504,499,499,505,500,502,497,503,501,501,502,496,501,502,504,500,501,498,502,503,500,501,504,500,504,505,506,500,505,502,500,502,500,502,502,497,500,500,503,498,501,503,503,497,503,502,497,500,505,503,499,501,503,497,498,501,505,498,499,500,503,498,499,499,503,503,503,502,500,498,502,500,498,499,499,503,502,507,504,501,502,499,501,500,496,504,500,499,501,501,501,499,501,501,500,499,502,500,505,502,499,498,503,500,503,501,500,505,502,500,501,503,498,500,500,501,499,504,505,499,505,501,500,495,502,502,506,500,501,500,502,505,507,495,504,500,501,502,498,501,501,500,500,500,501,504,501,503,504,504,504,497,502,499,503,503,498,500,500,496,504,500,500,502,502,501,498,502,497,499,502,502,500,498,500,501,506,502,499,503,504,502,499,493,
37,497,498,496,504,499,499,498,501,501,498,497,504,502,495,500,505,503,500,504,498,503,502,504,504,504,502,499,505,504,502,499,502,500,500,500,500,502,499,502,501,501,503,503,499,494,499,499,503,508,502,504,502,501,500,500,503,499,503,503,502,500,496,503,497,498,497,498,506,501,500,498,498,501,502,496,502,504,504,502,499,498,500,501,503,503,500,501,502,499,498,498,500,498,504,502,502,503,499,499,504,501,502,503,498,501,501,502,500,502,504,497,499,499,499,503,502,504,499,503,502,497,499,502,501,507,500,498,498,503,498,500,501,503,499,505,501,500,503,500,502,498,504,497,498,502,502,501,505,501,500,498,503,503,497,501,502,501,504,501,500,503,501,500,502,498,500,498,500,500,504,502,499,502,500,504,501,498,503,505,498,501,500,502,496,502,503,499,499,501,499,505,498,501,497,499,501,506,505,502,500,503,498,501,506,503,503,498,502,502,498,501,498,501,500,503,501,504,500,503,499,502,501,493,501,499,503,499,504,501,502,503,503,504,501,497,499,508,502,497,500,503,499,498,506,503,502,502,502,503,503,504,505,504,505,500,500,
41,502,501,501,501,498,498,502,503,502,495,502,503,497,502,504,503,502,503,501,499,501,505,501,498,501,496,499,502,501,504,507,502,502,503,500,500,502,503,504,495,501,501,498,504,497,501,501,502,502,501,500,501,503,499,502,496,506,503,500,496,502,498,500,501,496,501,502,500,504,498,501,504,497,499,500,500,500,497,501,502,500,499,503,505,502,501,502,497,494,506,500,504,503,499,503,502,499,501,502,499,496,505,499,500,506,501,499,498,505,498,496,502,498,501,500,503,497,501,500,500,499,501,499,495,505,500,502,499,501,503,500,504,503,501,505,506,499,500,495,503,501,505,501,498,502,502,499,501,501,500,501,500,502,503,502,497,499,499,493,499,497,499,501,502,501,501,497,496,502,501,499,502,503,504,498,502,497,499,498,496,505,500,503,500,503,500,498,496,505,500,495,506,503,499,500,506,502,503,502,502,501,504,494,499,497,502,498,502,500,501,505,495,499,503,504,502,498,503,505,499,500,505,494,498,498,505,503,504,500,502,502,503,498,496,499,503,497,504,500,502,502,501,500,499,498,498,504,500,503,502,501,504,498,501,500,500,
45,502,501,499,500,501,500,503,503,503,497,504,503,502,506,504,501,501,500,499,499,502,500,500,500,500,502,499,502,500,500,499,502,504,499,505,504,500,498,504,500,502,503,502,500,499,500,503,505,497,496,501,502,501,500,502,503,501,503,502,499,504,503,500,500,503,499,503,502,500,501,501,502,503,499,505,500,499,503,507,503,499,497,501,499,502,500,503,501,499,500,497,501,500,500,502,503,503,500,503,504,498,497,498,497,503,501,499,495,504,501,502,504,503,500,500,500,500,502,498,503,500,505,493,498,497,501,496,503,503,501,499,503,499,500,500,505,497,499,498,497,502,499,497,498,504,500,504,501,502,498,495,501,500,503,502,496,499,503,501,500,503,502,503,499,504,499,503,503,502,507,498,498,496,501,501,503,502,500,503,499,502,495,501,499,501,501,500,501,500,500,500,497,499,498,501,505,501,503,498,498,495,501,497,497,500,499,502,503,501,503,500,501,503,499,500,498,503,501,497,499,499,497,502,496,502,504,502,497,498,497,497,504,498,502,504,502,499,500,501,500,502,502,504,500,503,499,503,498,497,503,500,502,498,502,506,503,
49,501,500,501,498,497,496,500,500,493,501,501,499,501,503,504,499,496,495,498,501,503,502,499,498,499,504,499,498,493,501,498,499,499,501,503,499,500,501,501,504,502,498,506,494,501,500,504,498,501,500,504,499,501,500,504,500,499,498,501,498,500,503,501,505,502,499,504,501,499,503,501,500,503,500,503,502,500,499,503,501,500,500,500,500,506,496,500,502,501,500,497,500,504,497,499,502,501,498,501,500,499,500,501,503,499,499,500,498,499,501,503,502,500,503,499,499,501,503,500,499,500,504,501,499,496,505,501,507,499,502,504,502,500,499,500,504,505,502,501,499,503,505,502,501,499,502,502,501,501,497,501,497,501,500,500,504,501,496,504,498,499,499,504,501,498,502,501,502,500,502,500,497,500,499,501,494,504,501,500,500,499,502,497,500,501,501,503,500,507,498,503,500,497,505,502,497,499,501,494,500,499,499,503,502,495,499,499,501,501,502,499,503,501,498,499,504,503,503,505,500,499,500,504,500,502,500,498,503,500,504,500,503,500,500,502,502,503,499,500,498,503,501,501,497,503,506,500,504,498,504,500,498,502,502,503,498,
53,502,501,500,499,504,498,500,499,496,502,497,500,500,501,497,499,500,498,504,503,498,500,499,500,502,503,500,502,502,503,501,499,498,503,499,498,498,499,495,502,498,499,501,498,501,502,501,496,500,499,500,502,504,503,501,494,498,497,502,499,504,498,499,502,499,497,501,500,500,505,498,504,502,496,500,501,501,497,501,501,502,503,500,499,501,499,500,498,503,502,504,501,505,502,503,500,504,498,496,500,503,500,503,504,504,501,498,502,503,501,502,496,500,499,502,502,503,502,501,501,500,504,500,505,500,502,504,501,504,503,502,504,504,498,499,498,502,501,501,499,503,501,501,500,496,502,503,502,499,500,502,501,501,498,503,503,497,503,506,497,501,504,501,503,498,502,502,494,498,499,502,503,504,499,502,502,503,504,499,502,503,503,503,504,502,503,508,503,502,502,505,502,496,503,498,500,504,500,501,506,501,502,502,502,499,500,499,498,496,502,500,501,503,501,498,505,502,503,501,503,500,502,500,499,495,497,498,503,500,499,507,501,498,503,500,501,503,497,500,497,503,502,504,501,505,502,500,503,496,502,499,500,506,502,500,499,
