I_tubo[mA]=100
t_esposizione[ms]=50

kVp	Dose
40	4.54
42	5.51
44	7.11
46	8.02
48	7.99
50	9.64
52	10.77
54	11.62
56	12.68
58	13.30
60	14.72
62	15.19
64	16.64
66	17.47
68	18.85
70	20.36
72	20.83
74	22.28
76	23.43
78	25.03
80	26.03
82	26.94
84	28.66
86	30.0
88	31.59
90	32.80
92	33.7
94	35.0
96	36.8
98	38.0
100	41.0
