LECROYHDO9204-MSöv,30454,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 00:57:16,0                 
Time,Ampl
-4.8e-09,0
-4.75e-09,0
-4.7e-09,0
-4.65e-09,0
-4.6e-09,0
-4.55e-09,0
-4.5e-09,0
-4.45e-09,0
-4.4e-09,0
-4.35e-09,0
-4.3e-09,0
-4.25e-09,0
-4.2e-09,0
-4.15e-09,0
-4.1e-09,0
-4.05e-09,0
-4e-09,0
-3.95e-09,0
-3.9e-09,0
-3.85e-09,0
-3.8e-09,0
-3.75e-09,0
-3.7e-09,0
-3.65e-09,0
-3.6e-09,0
-3.55e-09,0
-3.5e-09,1
-3.45e-09,0
-3.4e-09,0
-3.35e-09,1
-3.3e-09,0
-3.25e-09,0
-3.2e-09,0
-3.15e-09,0
-3.1e-09,0
-3.05e-09,0
-3e-09,1
-2.95e-09,0
-2.9e-09,0
-2.85e-09,0
-2.8e-09,0
-2.75e-09,0
-2.7e-09,1
-2.65e-09,0
-2.6e-09,1
-2.55e-09,2
-2.5e-09,0
-2.45e-09,2
-2.4e-09,1
-2.35e-09,3
-2.3e-09,1
-2.25e-09,0
-2.2e-09,3
-2.15e-09,2
-2.1e-09,6
-2.05e-09,4
-2e-09,4
-1.95e-09,7
-1.9e-09,3
-1.85e-09,2
-1.8e-09,7
-1.75e-09,5
-1.7e-09,0
-1.65e-09,9
-1.6e-09,6
-1.55e-09,2
-1.5e-09,7
-1.45e-09,18
-1.4e-09,8
-1.35e-09,11
-1.3e-09,13
-1.25e-09,18
-1.2e-09,16
-1.15e-09,13
-1.1e-09,11
-1.05e-09,19
-1e-09,13
-9.5e-10,27
-9e-10,34
-8.5e-10,39
-8e-10,33
-7.5e-10,48
-7e-10,53
-6.5e-10,61
-6e-10,62
-5.5e-10,70
-5e-10,101
-4.5e-10,98
-4e-10,98
-3.5e-10,128
-3e-10,168
-2.5e-10,195
-2e-10,192
-1.5e-10,214
-1e-10,234
-5e-11,246
-5.777e-24,265
5e-11,268
1e-10,245
1.5e-10,216
2e-10,217
2.5e-10,186
3e-10,211
3.5e-10,164
4e-10,164
4.5e-10,147
5e-10,109
5.5e-10,114
6e-10,70
6.5e-10,82
7e-10,59
7.5e-10,49
8e-10,56
8.5e-10,45
9e-10,30
9.5e-10,36
1e-09,33
1.05e-09,26
1.1e-09,27
1.15e-09,22
1.2e-09,23
1.25e-09,19
1.3e-09,22
1.35e-09,15
1.4e-09,19
1.45e-09,10
1.5e-09,16
1.55e-09,7
1.6e-09,9
1.65e-09,15
1.7e-09,4
1.75e-09,6
1.8e-09,5
1.85e-09,4
1.9e-09,2
1.95e-09,5
2e-09,4
2.05e-09,3
2.1e-09,1
2.15e-09,3
2.2e-09,2
2.25e-09,0
2.3e-09,2
2.35e-09,2
2.4e-09,1
2.45e-09,0
2.5e-09,1
2.55e-09,3
2.6e-09,2
2.65e-09,1
2.7e-09,1
2.75e-09,1
2.8e-09,0
2.85e-09,0
2.9e-09,0
2.95e-09,1
3e-09,0
3.05e-09,0
3.1e-09,0
3.15e-09,0
3.2e-09,0
3.25e-09,0
3.3e-09,0
3.35e-09,0
3.4e-09,0
3.45e-09,0
3.5e-09,0
3.55e-09,0
3.6e-09,1
3.65e-09,0
3.7e-09,0
3.75e-09,0
3.8e-09,0
3.85e-09,0
3.9e-09,0
3.95e-09,0
4e-09,0
4.05e-09,0
4.1e-09,0
4.15e-09,0
4.2e-09,0
4.25e-09,0
4.3e-09,0
4.35e-09,0
4.4e-09,0
4.45e-09,0
4.5e-09,0
4.55e-09,0
4.6e-09,0
4.65e-09,0
4.7e-09,0
4.75e-09,0
4.8e-09,0
4.85e-09,0
4.9e-09,0
4.95e-09,0
5e-09,0
5.05e-09,0
5.1e-09,0
5.15e-09,0
