LECROYHDO9204-MSöv,30454,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:48:01,0                 
Time,Ampl
-2.044e-09,0
-2.034e-09,0
-2.024e-09,0
-2.014e-09,0
-2.004e-09,0
-1.994e-09,0
-1.984e-09,0
-1.974e-09,0
-1.964e-09,0
-1.954e-09,1
-1.944e-09,0
-1.934e-09,1
-1.924e-09,0
-1.914e-09,0
-1.904e-09,0
-1.894e-09,0
-1.884e-09,0
-1.874e-09,0
-1.864e-09,0
-1.854e-09,0
-1.844e-09,0
-1.834e-09,0
-1.824e-09,0
-1.814e-09,0
-1.804e-09,0
-1.794e-09,1
-1.784e-09,0
-1.774e-09,0
-1.764e-09,0
-1.754e-09,0
-1.744e-09,0
-1.734e-09,0
-1.724e-09,1
-1.714e-09,1
-1.704e-09,0
-1.694e-09,1
-1.684e-09,0
-1.674e-09,0
-1.664e-09,0
-1.654e-09,1
-1.644e-09,0
-1.634e-09,3
-1.624e-09,0
-1.614e-09,2
-1.604e-09,0
-1.594e-09,3
-1.584e-09,1
-1.574e-09,2
-1.564e-09,1
-1.554e-09,2
-1.544e-09,2
-1.534e-09,3
-1.524e-09,3
-1.514e-09,1
-1.504e-09,3
-1.494e-09,2
-1.484e-09,2
-1.474e-09,8
-1.464e-09,5
-1.454e-09,2
-1.444e-09,4
-1.434e-09,10
-1.424e-09,9
-1.414e-09,11
-1.404e-09,9
-1.394e-09,5
-1.384e-09,6
-1.374e-09,8
-1.364e-09,11
-1.354e-09,11
-1.344e-09,6
-1.334e-09,11
-1.324e-09,15
-1.314e-09,21
-1.304e-09,13
-1.294e-09,16
-1.284e-09,28
-1.274e-09,17
-1.264e-09,24
-1.254e-09,26
-1.244e-09,21
-1.234e-09,22
-1.224e-09,23
-1.214e-09,37
-1.204e-09,29
-1.194e-09,37
-1.184e-09,24
-1.174e-09,40
-1.164e-09,32
-1.154e-09,40
-1.144e-09,27
-1.134e-09,42
-1.124e-09,41
-1.114e-09,48
-1.104e-09,46
-1.094e-09,50
-1.084e-09,51
-1.074e-09,48
-1.064e-09,48
-1.054e-09,56
-1.044e-09,73
-1.034e-09,54
-1.024e-09,69
-1.014e-09,65
-1.004e-09,64
-9.94e-10,57
-9.84e-10,67
-9.74e-10,72
-9.64e-10,71
-9.54e-10,62
-9.44e-10,70
-9.34e-10,78
-9.24e-10,70
-9.14e-10,82
-9.04e-10,82
-8.94e-10,75
-8.84e-10,86
-8.74e-10,75
-8.64e-10,90
-8.54e-10,63
-8.44e-10,78
-8.34e-10,66
-8.24e-10,73
-8.14e-10,86
-8.04e-10,82
-7.94e-10,82
-7.84e-10,72
-7.74e-10,81
-7.64e-10,79
-7.54e-10,63
-7.44e-10,94
-7.34e-10,78
-7.24e-10,60
-7.14e-10,68
-7.04e-10,64
-6.94e-10,66
-6.84e-10,54
-6.74e-10,50
-6.64e-10,48
-6.54e-10,55
-6.44e-10,60
-6.34e-10,60
-6.24e-10,75
-6.14e-10,42
-6.04e-10,50
-5.94e-10,55
-5.84e-10,48
-5.74e-10,42
-5.64e-10,39
-5.54e-10,51
-5.44e-10,35
-5.34e-10,43
-5.24e-10,43
-5.14e-10,30
-5.04e-10,39
-4.94e-10,26
-4.84e-10,21
-4.74e-10,25
-4.64e-10,22
-4.54e-10,31
-4.44e-10,13
-4.34e-10,27
-4.24e-10,26
-4.14e-10,24
-4.04e-10,14
-3.94e-10,14
-3.84e-10,22
-3.74e-10,20
-3.64e-10,9
-3.54e-10,10
-3.44e-10,9
-3.34e-10,9
-3.24e-10,12
-3.14e-10,12
-3.04e-10,9
-2.94e-10,10
-2.84e-10,7
-2.74e-10,7
-2.64e-10,5
-2.54e-10,8
-2.44e-10,4
-2.34e-10,2
-2.24e-10,4
-2.14e-10,9
-2.04e-10,7
-1.94e-10,3
-1.84e-10,4
-1.74e-10,4
-1.64e-10,1
-1.54e-10,0
-1.44e-10,2
-1.34e-10,0
-1.24e-10,3
-1.14e-10,3
-1.04e-10,2
-9.4e-11,1
-8.4e-11,3
-7.4e-11,1
-6.4e-11,1
-5.4e-11,0
