LECROYHDO9204-MSöv,30454,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:06:50,0                 
Time,Ampl
-1.04e-09,0
-1.03e-09,0
-1.02e-09,0
-1.01e-09,0
-1e-09,0
-9.9e-10,0
-9.8e-10,0
-9.7e-10,1
-9.6e-10,0
-9.5e-10,0
-9.4e-10,0
-9.3e-10,0
-9.2e-10,0
-9.1e-10,0
-9e-10,0
-8.9e-10,0
-8.8e-10,0
-8.7e-10,0
-8.6e-10,0
-8.5e-10,0
-8.4e-10,0
-8.3e-10,0
-8.2e-10,0
-8.1e-10,0
-8e-10,0
-7.9e-10,0
-7.8e-10,0
-7.7e-10,0
-7.6e-10,0
-7.5e-10,0
-7.4e-10,0
-7.3e-10,0
-7.2e-10,1
-7.1e-10,0
-7e-10,0
-6.9e-10,1
-6.8e-10,2
-6.7e-10,0
-6.6e-10,0
-6.5e-10,0
-6.4e-10,0
-6.3e-10,3
-6.2e-10,1
-6.1e-10,2
-6e-10,1
-5.9e-10,0
-5.8e-10,2
-5.7e-10,2
-5.6e-10,3
-5.5e-10,2
-5.4e-10,2
-5.3e-10,3
-5.2e-10,2
-5.1e-10,3
-5e-10,9
-4.9e-10,5
-4.8e-10,4
-4.7e-10,8
-4.6e-10,7
-4.5e-10,9
-4.4e-10,7
-4.3e-10,8
-4.2e-10,20
-4.1e-10,10
-4e-10,15
-3.9e-10,13
-3.8e-10,22
-3.7e-10,17
-3.6e-10,27
-3.5e-10,26
-3.4e-10,24
-3.3e-10,29
-3.2e-10,29
-3.1e-10,33
-3e-10,38
-2.9e-10,40
-2.8e-10,45
-2.7e-10,57
-2.6e-10,52
-2.5e-10,48
-2.4e-10,62
-2.3e-10,44
-2.2e-10,61
-2.1e-10,74
-2e-10,59
-1.9e-10,68
-1.8e-10,72
-1.7e-10,76
-1.6e-10,78
-1.5e-10,79
-1.4e-10,58
-1.3e-10,75
-1.2e-10,90
-1.1e-10,85
-1e-10,83
-9e-11,87
-8e-11,88
-7e-11,95
-6e-11,106
-5e-11,93
-4e-11,76
-3e-11,100
-2e-11,95
-1e-11,88
-1.767e-24,93
1e-11,98
2e-11,111
3e-11,105
4e-11,113
5e-11,92
6e-11,90
7e-11,83
8e-11,108
9e-11,84
1e-10,102
1.1e-10,70
1.2e-10,75
1.3e-10,66
1.4e-10,69
1.5e-10,84
1.6e-10,80
1.7e-10,69
1.8e-10,51
1.9e-10,63
2e-10,57
2.1e-10,38
2.2e-10,55
2.3e-10,51
2.4e-10,48
2.5e-10,52
2.6e-10,48
2.7e-10,34
2.8e-10,35
2.9e-10,32
3e-10,38
3.1e-10,35
3.2e-10,35
3.3e-10,23
3.4e-10,27
3.5e-10,16
3.6e-10,15
3.7e-10,14
3.8e-10,23
3.9e-10,9
4e-10,14
4.1e-10,12
4.2e-10,11
4.3e-10,3
4.4e-10,7
4.5e-10,6
4.6e-10,10
4.7e-10,4
4.8e-10,8
4.9e-10,4
5e-10,5
5.1e-10,4
5.2e-10,4
5.3e-10,3
5.4e-10,4
5.5e-10,4
5.6e-10,2
5.7e-10,0
5.8e-10,1
5.9e-10,2
6e-10,2
6.1e-10,1
6.2e-10,3
6.3e-10,1
6.4e-10,1
6.5e-10,0
6.6e-10,1
6.7e-10,0
6.8e-10,0
6.9e-10,0
7e-10,0
7.1e-10,0
7.2e-10,0
7.3e-10,0
7.4e-10,0
7.5e-10,0
7.6e-10,0
7.7e-10,0
7.8e-10,0
7.9e-10,0
8e-10,0
8.1e-10,0
8.2e-10,0
8.3e-10,0
8.4e-10,0
8.5e-10,0
8.6e-10,0
8.7e-10,0
8.8e-10,0
8.9e-10,0
9e-10,0
9.1e-10,0
9.2e-10,0
9.3e-10,0
9.4e-10,0
9.5e-10,0
