LECROYHDO9204-MSöv,30454,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 00:45:16,0                 
Time,Ampl
-1.1e-09,0
-1.09e-09,0
-1.08e-09,0
-1.07e-09,0
-1.06e-09,0
-1.05e-09,0
-1.04e-09,0
-1.03e-09,0
-1.02e-09,0
-1.01e-09,0
-1e-09,0
-9.9e-10,0
-9.8e-10,0
-9.7e-10,0
-9.6e-10,0
-9.5e-10,0
-9.4e-10,0
-9.3e-10,0
-9.2e-10,0
-9.1e-10,0
-9e-10,0
-8.9e-10,0
-8.8e-10,0
-8.7e-10,0
-8.6e-10,0
-8.5e-10,0
-8.4e-10,0
-8.3e-10,0
-8.2e-10,0
-8.1e-10,0
-8e-10,0
-7.9e-10,2
-7.8e-10,0
-7.7e-10,0
-7.6e-10,1
-7.5e-10,0
-7.4e-10,0
-7.3e-10,2
-7.2e-10,0
-7.1e-10,1
-7e-10,0
-6.9e-10,0
-6.8e-10,0
-6.7e-10,2
-6.6e-10,0
-6.5e-10,1
-6.4e-10,0
-6.3e-10,0
-6.2e-10,4
-6.1e-10,4
-6e-10,1
-5.9e-10,1
-5.8e-10,1
-5.7e-10,6
-5.6e-10,4
-5.5e-10,3
-5.4e-10,4
-5.3e-10,6
-5.2e-10,8
-5.1e-10,9
-5e-10,5
-4.9e-10,13
-4.8e-10,8
-4.7e-10,11
-4.6e-10,22
-4.5e-10,11
-4.4e-10,15
-4.3e-10,17
-4.2e-10,15
-4.1e-10,17
-4e-10,17
-3.9e-10,26
-3.8e-10,31
-3.7e-10,35
-3.6e-10,39
-3.5e-10,29
-3.4e-10,40
-3.3e-10,46
-3.2e-10,42
-3.1e-10,39
-3e-10,74
-2.9e-10,79
-2.8e-10,81
-2.7e-10,86
-2.6e-10,65
-2.5e-10,72
-2.4e-10,76
-2.3e-10,111
-2.2e-10,84
-2.1e-10,109
-2e-10,117
-1.9e-10,138
-1.8e-10,131
-1.7e-10,121
-1.6e-10,134
-1.5e-10,151
-1.4e-10,152
-1.3e-10,152
-1.2e-10,166
-1.1e-10,158
-1e-10,193
-9e-11,180
-8e-11,199
-7e-11,199
-6e-11,176
-5e-11,182
-4e-11,209
-3e-11,183
-2e-11,209
-1e-11,203
-1.974e-24,202
1e-11,194
2e-11,183
3e-11,196
4e-11,179
5e-11,190
6e-11,173
7e-11,185
8e-11,192
9e-11,188
1e-10,187
1.1e-10,165
1.2e-10,153
1.3e-10,163
1.4e-10,172
1.5e-10,158
1.6e-10,128
1.7e-10,142
1.8e-10,157
1.9e-10,126
2e-10,124
2.1e-10,132
2.2e-10,118
2.3e-10,122
2.4e-10,110
2.5e-10,93
2.6e-10,84
2.7e-10,70
2.8e-10,70
2.9e-10,85
3e-10,82
3.1e-10,73
3.2e-10,54
3.3e-10,65
3.4e-10,49
3.5e-10,42
3.6e-10,52
3.7e-10,39
3.8e-10,40
3.9e-10,30
4e-10,27
4.1e-10,30
4.2e-10,19
4.3e-10,24
4.4e-10,19
4.5e-10,20
4.6e-10,20
4.7e-10,11
4.8e-10,17
4.9e-10,12
5e-10,13
5.1e-10,14
5.2e-10,9
5.3e-10,5
5.4e-10,7
5.5e-10,2
5.6e-10,7
5.7e-10,5
5.8e-10,2
5.9e-10,3
6e-10,1
6.1e-10,3
6.2e-10,1
6.3e-10,2
6.4e-10,3
6.5e-10,2
6.6e-10,2
6.7e-10,0
6.8e-10,2
6.9e-10,4
7e-10,2
7.1e-10,1
7.2e-10,1
7.3e-10,0
7.4e-10,0
7.5e-10,2
7.6e-10,0
7.7e-10,1
7.8e-10,0
7.9e-10,0
8e-10,0
8.1e-10,0
8.2e-10,0
8.3e-10,0
8.4e-10,0
8.5e-10,0
8.6e-10,0
8.7e-10,0
8.8e-10,0
8.9e-10,0
