LECROYHDO9204-MSöv,30454,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:03:36,0                 
Time,Ampl
-1.064e-09,0
-1.054e-09,0
-1.044e-09,0
-1.034e-09,0
-1.024e-09,0
-1.014e-09,0
-1.004e-09,0
-9.94e-10,0
-9.84e-10,0
-9.74e-10,0
-9.64e-10,0
-9.54e-10,0
-9.44e-10,0
-9.34e-10,0
-9.24e-10,0
-9.14e-10,0
-9.04e-10,0
-8.94e-10,0
-8.84e-10,0
-8.74e-10,0
-8.64e-10,0
-8.54e-10,0
-8.44e-10,0
-8.34e-10,0
-8.24e-10,0
-8.14e-10,0
-8.04e-10,0
-7.94e-10,0
-7.84e-10,0
-7.74e-10,0
-7.64e-10,1
-7.54e-10,1
-7.44e-10,0
-7.34e-10,0
-7.24e-10,0
-7.14e-10,0
-7.04e-10,1
-6.94e-10,0
-6.84e-10,2
-6.74e-10,1
-6.64e-10,0
-6.54e-10,1
-6.44e-10,1
-6.34e-10,2
-6.24e-10,0
-6.14e-10,1
-6.04e-10,3
-5.94e-10,5
-5.84e-10,2
-5.74e-10,3
-5.64e-10,0
-5.54e-10,6
-5.44e-10,6
-5.34e-10,4
-5.24e-10,7
-5.14e-10,8
-5.04e-10,5
-4.94e-10,7
-4.84e-10,14
-4.74e-10,8
-4.64e-10,13
-4.54e-10,14
-4.44e-10,12
-4.34e-10,22
-4.24e-10,26
-4.14e-10,23
-4.04e-10,17
-3.94e-10,21
-3.84e-10,32
-3.74e-10,21
-3.64e-10,29
-3.54e-10,36
-3.44e-10,39
-3.34e-10,37
-3.24e-10,41
-3.14e-10,38
-3.04e-10,42
-2.94e-10,56
-2.84e-10,59
-2.74e-10,49
-2.64e-10,59
-2.54e-10,65
-2.44e-10,55
-2.34e-10,59
-2.24e-10,78
-2.14e-10,59
-2.04e-10,81
-1.94e-10,83
-1.84e-10,85
-1.74e-10,71
-1.64e-10,65
-1.54e-10,79
-1.44e-10,90
-1.34e-10,83
-1.24e-10,82
-1.14e-10,104
-1.04e-10,81
-9.4e-11,92
-8.4e-11,99
-7.4e-11,86
-6.4e-11,85
-5.4e-11,88
-4.4e-11,93
-3.4e-11,96
-2.4e-11,94
-1.4e-11,82
-4e-12,92
6e-12,82
1.6e-11,94
2.6e-11,69
3.6e-11,85
4.6e-11,106
5.6e-11,85
6.6e-11,91
7.6e-11,84
8.6e-11,89
9.6e-11,64
1.06e-10,74
1.16e-10,61
1.26e-10,74
1.36e-10,72
1.46e-10,60
1.56e-10,63
1.66e-10,76
1.76e-10,69
1.86e-10,50
1.96e-10,42
2.06e-10,56
2.16e-10,36
2.26e-10,38
2.36e-10,45
2.46e-10,29
2.56e-10,37
2.66e-10,38
2.76e-10,29
2.86e-10,29
2.96e-10,40
3.06e-10,21
3.16e-10,29
3.26e-10,19
3.36e-10,27
3.46e-10,13
3.56e-10,25
3.66e-10,19
3.76e-10,14
3.86e-10,12
3.96e-10,9
4.06e-10,6
4.16e-10,10
4.26e-10,6
4.36e-10,10
4.46e-10,5
4.56e-10,6
4.66e-10,7
4.76e-10,2
4.86e-10,3
4.96e-10,3
5.06e-10,4
5.16e-10,5
5.26e-10,2
5.36e-10,3
5.46e-10,2
5.56e-10,2
5.66e-10,0
5.76e-10,0
5.86e-10,0
5.96e-10,0
6.06e-10,1
6.16e-10,2
6.26e-10,2
6.36e-10,0
6.46e-10,0
6.56e-10,1
6.66e-10,0
6.76e-10,0
6.86e-10,1
6.96e-10,0
7.06e-10,0
7.16e-10,0
7.26e-10,0
7.36e-10,0
7.46e-10,0
7.56e-10,0
7.66e-10,0
7.76e-10,0
7.86e-10,0
7.96e-10,0
8.06e-10,0
8.16e-10,0
8.26e-10,0
8.36e-10,0
8.46e-10,0
8.56e-10,0
8.66e-10,1
8.76e-10,0
8.86e-10,0
8.96e-10,0
9.06e-10,0
9.16e-10,0
9.26e-10,1
