#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-8.598	-7.860	-10.689	-7.890	59.248	-4.039	290.624	154.360
-3.012	-1.644	-2.444	-3.776	214.463	76.411	221.109	264.766
-4.415	-2.396	-4.865	-4.057	171.779	64.742	233.038	198.045
-6.414	-4.793	-7.738	-4.737	95.354	50.037	184.893	114.353
-3.367	-1.504	-10.710	-7.564	199.876	45.575	115.880	98.968
-3.029	-2.311	-4.792	-1.416	177.309	79.194	93.970	71.533
-2.529	-1.667	-3.753	-2.229	329.396	140.092	179.117	114.076
-3.482	-1.793	-3.119	-3.079	93.358	63.377	169.712	195.951
-3.846	-1.981	-2.010	-4.337	145.178	58.419	98.854	136.613
-1.018	-3.383	-3.949	-2.683	190.145	303.133	68.869	70.556
-3.265	-2.604	-5.170	-2.629	89.015	42.218	117.400	80.862
-9.199	-7.655	-9.195	-6.982	260.498	70.938	72.206	32.570
-7.538	-5.131	-7.071	-9.544	94.592	34.697	339.463	557.180
-4.634	-3.560	-2.897	-6.486	140.547	76.494	24.933	59.015
-2.639	-1.363	-2.514	-2.991	188.044	102.590	143.678	216.889
-94.427	-94.884	-1.626	-4.414	141.272	99.557	90.883	115.142
-3.355	-106.697	-5.158	-3.054	61.170	-13.375	224.719	188.394
-6.845	-6.089	-7.684	-5.698	121.864	38.829	53.786	50.239
-2.572	-1.776	-3.596	-2.406	194.898	82.298	250.113	149.220
-2.644	-1.710	-5.216	-1.982	104.457	60.093	342.666	202.676
-3.136	-1.631	-3.357	-1.791	124.272	56.910	160.660	131.386
-2.762	-1.806	-3.451	-2.828	205.060	87.397	126.788	136.951
-13.011	-11.906	-14.674	-11.792	101.843	82.529	26.996	26.910
-2.500	-1.409	-2.434	-1.134	387.446	201.618	106.635	111.105
-2.756	-1.526	-4.284	-2.293	117.366	54.746	132.744	121.235
-3.529	-1.872	-3.481	-2.905	171.809	47.732	89.295	40.270
-3.538	-2.368	-3.562	-3.685	192.141	72.598	168.040	158.194
-5.377	-3.149	-4.732	-5.428	47.374	29.627	81.708	64.523
-4.014	-2.451	-2.754	-4.464	209.785	64.532	153.707	229.026
-2.634	-3.630	-5.347	-4.626	51.791	63.654	143.337	135.664
-6.528	-2.923	-7.358	-6.978	32.146	39.800	89.527	82.106
-4.474	-2.853	-5.367	-3.897	180.930	93.644	138.965	152.924
-5.087	-3.810	-6.653	-3.972	90.925	25.342	253.130	175.208
-4.374	-3.420	-4.980	-4.521	254.816	65.145	81.254	72.918
-2.972	-1.342	-3.509	-2.753	209.034	83.436	128.988	137.805
-2.592	-1.687	-3.637	-2.305	184.250	79.103	224.272	212.564
-4.275	-3.081	-4.028	-4.694	156.615	67.358	98.405	86.740
-3.222	-1.435	-2.450	-3.169	160.866	75.284	138.339	136.115
-3.564	-1.314	-3.502	-1.589	378.108	77.854	151.470	98.264
-3.901	-1.610	-3.349	-4.264	260.468	100.391	169.294	212.973
-3.210	-1.724	-1.637	-4.239	223.413	112.707	58.680	103.483
-3.113	-1.854	-4.283	-2.804	81.310	49.223	142.571	104.587
-2.449	-1.662	-4.222	-2.017	172.597	75.384	142.103	124.458
-2.206	-1.862	-3.757	-1.919	226.894	89.559	140.381	99.266
-1.944	-4.892	-4.422	-3.374	115.235	190.391	82.989	56.469
-4.081	-4.003	-3.777	-5.429	61.106	55.755	161.934	277.388
-2.082	-1.423	-1.071	-3.318	235.024	109.362	144.386	172.571
-5.561	-79.608	-5.120	-5.918	51.373	26.302	46.188	63.259
-6.639	-4.946	-7.065	-5.558	198.266	52.562	63.394	36.569
-6.841	-4.187	-5.942	-7.311	158.477	26.690	162.863	177.257
-4.641	-4.730	-6.966	-5.674	41.260	43.505	232.818	136.227
-4.203	-2.789	-3.802	-4.212	205.194	63.178	137.199	180.499
-2.182	-1.167	-1.696	-2.317	331.725	133.112	72.024	61.761
-2.332	-1.641	-4.120	-2.152	129.312	55.195	252.969	170.733
-6.913	-4.891	-6.915	-6.906	71.547	37.672	105.844	85.709
-3.112	-1.534	-2.330	-3.681	192.070	81.178	174.303	199.109
-4.297	-2.781	-4.159	-4.081	76.031	49.305	47.369	62.710
-2.819	-1.569	-3.211	-2.530	172.261	79.191	56.572	73.646
-4.264	-2.804	-5.162	-3.062	123.743	74.749	104.255	91.346
-4.294	-3.438	-6.057	-4.161	71.233	55.255	226.239	216.777
-13.997	-13.022	-1.293	-0.471	331.620	178.944	559.098	561.835
-3.164	-1.516	-4.234	-3.369	154.136	73.952	186.842	156.241
-4.792	-2.944	-5.369	-3.197	133.125	29.526	407.074	289.346
-3.609	-2.111	-4.381	-2.889	62.696	32.750	92.457	63.196
-4.729	-4.524	-5.442	-6.147	71.146	33.390	164.055	242.688
-4.608	-3.770	-4.354	-6.855	74.117	28.640	53.792	63.014
-2.609	-1.544	-3.499	-2.598	224.135	75.258	271.376	214.351
-3.640	-1.948	-4.281	-3.214	193.361	68.458	263.136	204.111
-7.289	-6.081	-5.591	-3.589	212.108	95.323	56.314	39.594
-3.103	-1.903	-4.468	-2.648	144.125	83.200	259.079	196.739
-3.009	-3.751	-0.595	-2.651	522.192	445.783	322.012	500.972
-3.740	-1.919	-4.142	-3.453	173.856	84.794	39.924	41.179
-3.674	-1.856	-2.763	-6.260	102.938	68.613	396.626	617.072
-4.866	-3.634	-6.205	-4.474	124.688	33.568	261.566	195.107
-5.920	-4.170	-3.835	-6.285	429.791	170.405	61.903	88.779
-8.449	-7.100	-10.344	-8.793	25.726	43.247	401.967	292.654
-3.155	-1.497	-4.083	-3.164	241.524	76.901	107.025	106.238
-3.135	-2.368	-3.756	-4.140	88.717	61.918	253.798	270.796
-5.810	-4.616	-3.479	-6.490	181.764	78.909	39.110	80.544
-3.657	-1.999	-2.394	-4.362	150.740	86.500	129.583	178.909
-5.293	-4.197	-6.790	-3.962	93.651	52.146	278.794	175.216
-2.609	-2.738	-4.608	-2.510	335.590	265.508	59.580	46.039
-3.307	-1.886	-4.343	-1.977	184.697	84.955	152.747	103.555
-14.788	-13.509	-14.346	-14.527	93.393	35.074	53.940	76.718
-7.496	-6.771	-8.587	-7.778	130.752	72.497	30.696	27.399
-5.339	-3.747	-3.923	-6.053	255.906	67.014	58.889	76.484
-2.124	-1.402	-3.906	-1.429	123.871	81.269	239.255	129.388
-4.039	-2.197	-3.188	-3.336	237.337	78.116	55.733	38.976
-3.141	-2.503	-91.768	-92.093	177.759	53.079	239.410	290.432
-3.342	-1.766	-2.875	-4.493	116.850	49.123	88.743	140.987
-4.287	-2.915	-2.912	-4.933	175.598	119.531	69.653	168.603
-2.795	-2.249	-5.061	-2.134	147.561	80.475	55.143	38.437
-3.963	-2.050	-4.528	-3.390	144.462	75.074	301.086	230.862
-4.374	-1.861	-5.093	-4.042	130.524	46.965	237.511	172.241
-3.424	-1.612	-3.033	-3.557	223.430	92.647	73.271	95.400
-2.863	-1.679	-2.858	-2.911	114.414	60.372	133.686	174.218
-1.897	-1.278	-3.498	-1.562	173.260	89.935	270.660	169.748
-2.289	-1.764	-3.581	-2.681	90.510	60.382	157.191	150.932
-9.905	-7.424	-8.411	-10.966	188.934	46.704	63.847	122.974
-2.509	-1.356	-4.558	-1.617	243.351	115.678	171.572	110.582
-3.835	-2.767	-4.366	-3.726	174.861	72.945	85.078	80.250
-6.980	-6.036	-8.030	-6.016	99.572	37.715	79.537	65.233
-3.657	-1.700	-3.065	-4.241	115.690	77.697	65.023	96.198
-6.953	-5.855	-7.451	-6.227	69.358	47.101	252.603	238.881
-3.845	-2.526	-4.993	-2.513	197.841	65.183	82.962	62.827
-3.607	-1.568	-4.398	-2.401	160.785	82.334	101.114	69.749
-4.106	-2.316	-5.874	-3.292	121.522	58.502	74.099	38.954
-3.333	-1.787	-3.852	-3.821	155.507	54.053	73.350	75.330
-2.750	-1.945	-4.011	-2.737	111.296	39.501	97.425	81.270
-5.506	-3.702	-4.727	-3.818	132.409	54.074	30.161	39.698
-3.706	-2.517	-4.634	-3.004	154.887	82.442	86.601	75.393
-4.966	-4.138	-6.765	-4.569	132.385	64.513	66.462	28.344
-6.422	-4.862	-8.505	-5.890	146.402	51.945	16.840	24.524
-4.748	-3.442	-3.706	-5.127	159.479	31.745	127.821	230.487
-13.324	-12.336	-14.751	-11.966	113.135	39.470	226.967	173.192
-4.072	-1.893	-4.189	-3.565	86.816	42.713	249.341	260.041
-2.490	-1.831	-3.827	-1.371	372.760	145.511	84.118	76.842
-6.216	-4.037	-4.877	-6.528	140.737	78.467	59.853	165.314
-4.939	-60.867	-4.799	-5.186	158.152	65.764	262.666	272.813
-2.417	-1.488	-2.578	-2.677	187.995	81.699	226.048	227.264
-7.632	-6.689	-6.218	-4.818	64.638	50.693	38.950	23.871
-3.764	-1.692	-3.882	-4.366	181.574	62.007	179.428	232.814
-5.129	-3.669	-5.102	-5.125	176.657	99.320	34.411	47.971
-3.184	-1.002	-1.983	-2.326	540.912	194.103	96.464	98.696
-5.128	-2.182	-3.363	-5.735	86.104	21.368	100.853	171.476
-4.593	-3.389	-3.442	-4.827	155.812	48.948	22.923	51.445
-8.703	-6.398	-8.798	-8.567	78.165	44.236	64.148	103.912
-9.733	-8.066	-16.357	-14.441	120.537	12.493	293.626	228.365
-3.196	-1.576	-4.347	-1.800	341.316	125.035	123.120	90.645
-2.666	-1.836	-3.541	-2.539	104.693	81.760	103.420	84.481
-3.325	-2.434	-5.687	-4.194	107.917	66.386	403.271	347.128
-2.653	-1.558	-3.872	-2.025	130.304	105.936	141.247	81.665
-2.601	-1.988	-4.411	-2.384	103.278	68.542	292.562	172.335
-3.063	-1.555	-2.623	-3.214	248.054	85.479	159.389	209.287
-7.801	-5.230	-6.468	-8.196	72.452	29.320	89.176	58.930
-5.331	-3.805	-4.558	-5.985	160.258	29.239	228.244	249.668
-12.200	-9.945	-13.199	-11.882	74.902	32.392	110.716	102.586
-5.537	-4.652	-1.486	-4.999	115.370	46.354	80.633	164.181
-2.803	-1.472	-28.661	-28.068	121.927	91.376	90.696	69.019
-3.034	-1.750	-4.224	-2.128	163.167	79.367	272.708	225.182
-3.804	-3.430	-5.845	-3.914	116.011	83.766	38.958	35.642
-5.827	-4.359	-4.538	-6.919	119.806	36.412	63.396	74.111
-4.499	-2.673	-3.519	-1.393	237.228	102.044	78.417	82.262
-3.135	-2.029	-2.776	-3.822	143.342	52.271	108.717	160.037
-2.698	-1.728	-4.175	-2.038	135.179	60.757	131.811	134.837
-2.468	-1.621	-3.874	-1.392	202.642	105.117	121.338	92.914
-6.435	-4.879	-5.452	-7.027	301.747	112.662	40.023	123.579
-4.449	-4.474	-6.250	-3.838	159.064	44.653	109.923	99.309
-4.271	-3.052	-5.338	-3.390	132.455	57.280	113.194	75.674
-2.613	-2.030	-4.675	-1.911	147.819	75.671	262.557	149.948
