T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-1.836	-3.584	-3.224	-5.285	66.306	77.948	220.385	295.226
-1.233	-3.890	-2.501	-4.788	131.789	181.400	96.899	96.948
-2.855	-4.860	-5.002	-6.482	105.548	109.945	36.949	56.322
-2.412	-3.954	-2.830	-5.382	61.694	43.805	62.705	162.545
-1.707	-4.934	-4.492	-5.629	39.559	100.417	47.810	106.790
-2.178	-2.947	-3.726	-6.219	44.427	44.490	36.275	71.721
-5.191	-5.040	-5.004	-7.674	263.748	134.990	28.759	76.472
-2.929	-2.590	-23.915	-23.829	92.386	61.403	628.080	650.640
-1.787	-3.994	-3.546	-5.625	61.041	107.583	172.095	246.774
-1.566	-3.851	-2.889	-5.234	67.980	96.809	120.214	196.767
-1.902	-3.705	-3.524	-5.371	42.926	81.893	148.729	223.301
-8.490	-9.450	-7.625	-10.629	31.442	33.650	52.446	61.715
-1.978	-3.948	-3.345	-5.728	63.919	80.192	71.972	133.313
-1.215	-2.488	-2.083	-4.593	112.977	108.672	123.528	249.293
-4.031	-6.246	-6.186	-7.818	44.894	77.193	64.267	100.469
-1.550	-3.023	-2.631	-4.952	113.657	116.993	180.406	272.240
-7.785	-8.841	-8.824	-10.955	49.205	62.075	132.234	201.685
-6.452	-8.421	-7.726	-10.070	42.495	50.290	29.666	68.256
-1.390	-1.491	-1.330	-4.752	139.700	93.355	338.736	540.453
-6.183	-8.283	-7.408	-7.907	46.279	53.131	26.894	44.950
-6.755	-8.188	-7.956	-10.330	139.899	106.390	31.734	35.625
-1.483	-2.853	-1.723	-4.714	85.808	99.030	158.929	247.900
-1.479	-2.477	-1.832	-4.833	107.159	109.240	119.279	189.175
-5.481	-6.025	-5.011	-8.423	63.332	45.701	105.121	237.355
-1.198	-3.499	-2.699	-2.077	409.128	480.343	64.116	71.673
-1.383	-3.776	-3.188	-4.878	74.619	119.958	104.281	139.856
-2.028	-1.269	-18.676	-18.092	221.139	133.435	92.282	65.382
-56.994	-3.689	-2.769	-5.623	67.803	53.011	195.839	375.461
-3.178	-3.722	-3.944	-3.193	320.866	252.637	47.804	38.400
-2.351	-4.872	-4.451	-5.985	48.666	80.879	127.388	166.106
-1.520	-4.020	-4.037	-5.166	66.163	110.292	83.649	108.451
-2.054	-5.188	-3.979	-6.003	50.795	95.899	148.791	226.125
-1.484	-3.784	-2.503	-5.167	111.812	85.486	116.468	156.943
-3.083	-5.329	-4.681	-6.184	80.399	180.828	41.604	75.538
-1.601	-3.250	-2.639	-4.601	76.062	117.424	65.165	94.998
-26.332	-11.134	-11.645	-12.229	19.707	34.149	49.765	82.769
-4.354	-7.057	-5.591	-6.668	30.240	77.286	34.556	58.309
-2.389	-4.902	-3.738	-5.245	40.028	58.348	109.614	118.069
-2.067	-4.640	-4.110	-5.789	67.585	94.955	64.227	97.075
-1.392	-4.427	-4.212	-5.581	105.971	153.870	141.081	219.947
-79.091	-81.673	-9.297	-10.652	180.469	354.257	34.109	31.913
-1.585	-3.231	-2.662	-4.765	94.704	92.647	102.454	153.001
-3.223	-5.152	-3.886	-6.312	74.966	132.293	24.278	46.471
-1.239	-3.113	-2.279	-5.318	99.357	149.893	279.980	478.950
-3.771	-5.567	-4.861	-7.594	48.119	43.770	163.815	233.411
-1.611	-2.655	-2.530	-4.847	87.730	78.530	134.987	114.358
-3.059	-5.166	-4.401	-6.388	86.271	157.994	76.224	118.935
-1.766	-2.962	-2.800	-5.101	61.544	94.776	95.631	112.726
-1.169	-2.574	-1.711	-4.830	101.728	98.111	128.372	227.441
-1.496	-4.040	-3.024	-4.561	79.698	113.537	60.234	51.832
-1.466	-3.509	-3.041	-4.369	108.415	144.149	154.088	193.307
-4.877	-5.106	-4.525	-7.645	49.056	56.490	25.065	62.729
-1.478	-3.411	-3.217	-3.978	95.426	172.913	82.730	135.693
-1.515	-1.927	-0.567	-3.738	302.256	199.950	459.974	718.127
-1.361	-3.268	-2.751	-4.922	78.178	103.407	186.513	345.059
-1.324	-2.798	-2.512	-4.550	90.038	111.360	58.070	177.765
-3.115	-1.248	-5.407	-3.520	293.259	112.819	406.333	389.194
-1.828	-3.461	-3.168	-5.161	73.391	79.550	228.183	317.960
-1.329	-2.979	-1.977	-4.877	83.878	114.929	136.037	272.651
-1.776	-3.539	-2.635	-5.137	63.494	77.579	151.779	275.901
-1.345	-3.872	-3.460	-5.074	120.664	172.503	171.790	199.261
-2.947	-4.635	-5.129	-7.119	42.096	59.657	173.348	317.444
-14.700	-14.189	-15.181	-14.378	104.927	62.929	36.891	30.360
-1.230	-3.010	-1.858	-4.866	116.452	123.974	144.322	364.331
-1.060	-3.558	-3.002	-4.043	109.152	159.910	201.534	232.550
-1.341	-4.054	-2.673	-4.657	93.064	86.187	78.873	75.996
-1.913	-4.244	-4.222	-6.670	46.715	53.962	567.530	764.756
-1.728	-4.509	-3.710	-4.822	92.658	177.148	148.357	177.727
-5.836	-6.337	-6.263	-9.432	38.748	37.658	139.697	276.277
-1.198	-3.037	-2.396	-4.573	126.815	140.905	108.230	194.786
-1.721	-4.118	-3.443	-5.548	47.402	71.390	31.580	65.624
-1.167	-3.673	-3.235	-4.613	118.051	130.910	48.745	64.657
-4.668	-7.498	-6.133	-8.160	23.228	52.181	178.459	220.469
-2.674	-4.980	-3.836	-6.283	62.159	61.656	66.795	140.050
-1.089	-3.449	-2.609	-4.408	167.518	165.641	109.905	168.660
-3.268	-5.445	-4.545	-6.384	64.803	109.141	46.391	91.086
-3.684	-5.671	-5.134	-7.253	62.979	102.442	158.050	277.586
-1.744	-3.312	-2.062	-4.816	71.255	67.211	55.466	83.955
-1.571	-2.714	-2.047	-4.851	81.126	109.324	158.451	263.613
-2.406	-3.399	-2.847	-5.509	84.730	116.284	177.191	359.441
-1.244	-3.865	-2.791	-4.002	128.500	148.031	119.904	151.037
-1.274	-3.072	-2.469	-5.081	79.048	101.241	190.264	394.356
-1.279	-3.682	-2.423	-5.183	116.955	86.365	189.983	342.842
-1.409	-3.523	-2.803	-4.884	93.241	140.547	167.530	242.128
-4.405	-7.098	-5.596	-8.518	187.285	333.644	27.028	54.823
-1.744	-3.439	-2.726	-5.667	43.913	68.233	41.089	59.491
-1.676	-3.490	-2.605	-5.254	60.145	131.286	67.521	126.295
-1.725	-4.978	-3.617	-5.394	54.148	93.549	67.392	102.233
-2.902	-5.537	-4.548	-5.971	24.998	83.663	51.742	54.670
-4.953	-4.737	-4.452	-5.148	125.073	70.639	35.575	24.708
-1.339	-2.797	-2.549	-4.684	102.017	146.100	109.073	189.991
-1.693	-3.176	-4.411	-3.878	90.249	169.363	181.880	153.542
-3.451	-4.811	-4.269	-6.821	39.626	74.478	54.048	93.856
-1.353	-3.266	-2.463	-4.968	111.610	75.118	199.696	285.737
-1.357	-4.059	-2.890	-5.373	76.952	106.426	90.614	159.954
-5.621	-4.380	-6.431	-4.510	150.229	50.783	78.861	61.254
-2.487	-5.101	-4.298	-7.003	27.065	58.808	118.453	246.226
-1.457	-2.603	-2.109	-5.167	92.602	78.515	172.885	309.627
-1.563	-2.291	-2.009	-4.961	93.127	119.164	136.464	336.348
-1.704	-4.119	-3.575	-4.880	52.773	74.490	167.029	277.978
-2.028	-3.978	-4.743	-5.191	83.674	136.558	175.329	213.079
-5.087	-7.196	-6.894	-8.442	53.497	53.269	103.811	80.357
-21.250	-24.215	-22.991	-23.939	5.610	56.154	161.570	209.291
-1.247	-2.799	-2.223	-5.091	85.640	82.802	103.664	160.661
-1.838	-4.188	-3.839	-6.541	78.331	108.833	149.621	308.618
-1.329	-2.521	-2.034	-4.687	87.508	76.645	109.629	182.376
-1.562	-3.043	-2.688	-4.749	67.337	89.159	91.299	146.521
-4.819	-6.651	-5.901	-3.318	129.954	199.074	56.871	30.563
-57.757	-60.643	-62.043	-61.641	2.669	-3.818	3.056	-6.267
-1.613	-3.877	-2.572	-5.656	68.969	70.034	124.170	159.457
-4.900	-6.792	-5.985	-8.084	41.702	71.862	185.216	274.951
-1.509	-3.849	-3.160	-5.105	69.606	107.112	121.097	160.807
-1.610	-2.810	-2.333	-5.255	58.255	89.699	98.797	114.093
-3.774	-5.167	-4.459	-7.474	45.049	38.872	123.109	315.986
-1.126	-3.854	-2.846	-4.967	122.994	93.017	176.913	309.048
-1.838	-3.440	-3.141	-5.541	50.342	38.578	92.959	160.164
-8.531	-9.861	-9.373	-12.301	32.873	35.450	61.183	150.240
-3.184	-4.841	-4.168	-6.451	17.798	62.632	173.048	309.939
-2.671	-5.892	-5.214	-6.341	30.424	58.198	148.885	213.853
-7.183	-4.561	-8.625	-6.490	132.523	36.431	53.997	35.141
-0.635	-3.404	-2.118	-3.769	297.780	588.013	215.631	264.972
-2.388	-4.713	-1.636	-4.848	261.509	503.758	56.110	134.759
-2.864	-5.093	-4.051	-5.802	52.435	89.820	132.390	202.297
-1.623	-2.231	-1.628	-5.049	82.654	120.513	59.914	103.955
-3.466	-5.763	-5.418	-7.518	45.457	47.964	30.763	42.105
-1.397	-3.529	-3.438	-6.291	108.865	134.722	210.856	376.223
-4.199	-2.098	-4.048	-6.848	176.572	68.120	28.821	68.512
-1.296	-2.404	-2.670	-5.116	126.288	101.981	182.408	289.086
-1.438	-3.032	-2.208	-4.598	82.442	88.527	224.027	328.929
-2.263	-4.421	-3.963	-6.136	55.777	65.942	164.253	216.573
-2.908	-1.696	-5.330	-3.472	175.908	40.087	517.701	343.308
-5.587	-4.112	-9.218	-11.128	86.062	39.557	37.785	65.170
-7.127	-9.142	-8.272	-10.843	54.708	60.718	29.927	52.516
-1.714	-3.180	-2.023	-3.939	69.931	103.320	56.122	89.705
-2.080	-3.736	-2.970	-5.495	44.257	91.407	153.926	286.046
-4.953	-6.511	-5.438	-8.174	36.961	71.640	50.392	72.643
