#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-1.586	-4.156	-5.257	-3.948	37.025	165.134	111.713	113.241
-3.571	-5.576	-7.074	-3.916	49.452	32.788	54.781	48.161
-1.467	-2.468	-3.883	-3.223	104.137	110.911	180.283	122.640
-1.171	-1.404	-38.001	-35.682	156.961	77.466	64.573	61.465
-3.935	-4.188	-5.642	-5.667	130.312	61.370	197.152	195.588
-1.072	-1.735	-2.881	-2.753	149.342	136.519	164.623	190.900
-2.009	-4.490	-5.785	-3.038	71.761	61.468	89.856	50.462
-1.793	-4.373	-5.918	-2.922	68.661	90.925	287.090	179.240
-6.385	-5.200	-9.049	-7.158	114.443	50.073	411.235	360.912
-2.856	-3.737	-4.868	-3.182	97.058	87.629	79.121	68.735
-7.849	-7.997	-9.672	-8.768	61.653	39.717	85.273	99.052
-3.383	-1.512	-2.972	-4.958	201.416	81.636	140.383	225.378
-5.003	-73.013	-7.170	-6.775	37.494	48.947	168.791	134.092
-2.476	-1.671	-3.068	-4.032	178.517	99.850	70.027	63.566
-4.987	-3.659	-4.794	-6.501	70.677	57.522	184.089	237.811
-4.891	-4.230	-5.938	-5.951	167.909	83.131	39.044	67.096
-9.548	-12.021	-12.858	-13.876	50.467	47.554	177.584	204.401
-1.515	-3.922	-5.116	-2.235	99.875	116.938	121.577	64.890
-3.316	-1.831	-3.431	-4.796	141.597	87.160	201.447	272.264
-1.841	-4.239	-6.001	-3.220	97.337	134.447	288.051	178.667
-3.165	-2.443	-3.877	-2.517	27.276	26.701	234.894	205.476
-4.729	-4.499	-5.411	-5.878	71.126	24.888	146.968	239.985
-20.590	-21.419	-22.948	-21.320	49.219	45.796	261.103	201.084
-2.382	-4.827	-5.905	-4.300	53.955	101.436	42.114	35.161
-2.414	-2.125	-3.157	-3.545	89.194	64.672	107.717	113.531
-1.362	-1.381	-2.906	-2.372	156.490	72.135	98.067	98.810
-2.406	-1.976	-3.118	-4.467	153.908	67.503	200.690	285.451
-1.195	-2.386	-2.682	-1.873	132.015	129.008	288.954	266.749
-1.671	-3.129	-4.605	-3.126	119.895	115.567	169.442	152.267
-5.771	-3.862	-5.069	-6.677	110.817	41.846	47.370	59.278
-1.321	-3.474	-5.397	-2.550	115.952	175.572	314.355	188.988
-2.009	-1.252	-2.269	-3.206	184.242	79.069	179.068	282.496
-1.566	-1.411	-1.805	-2.985	183.028	97.643	93.005	129.075
-3.650	-6.169	-7.777	-4.767	103.467	128.801	53.058	33.956
-1.337	-2.873	-4.321	-4.858	97.619	93.462	294.278	365.624
-1.360	-3.961	-5.448	-2.770	103.527	154.243	277.847	214.167
-5.748	-4.524	-5.522	-6.737	37.937	50.591	34.909	44.670
-2.071	-1.587	-2.705	-3.262	136.064	87.073	108.103	88.035
-2.795	-1.693	-2.064	-4.247	120.151	83.087	57.096	100.463
-1.796	-1.053	-1.483	-2.224	318.045	181.390	163.764	201.099
-57.529	-56.101	-3.822	-0.896	146.829	50.270	254.663	155.702
-1.391	-2.531	-3.046	-2.537	70.075	30.111	43.101	50.761
-1.015	-1.798	-1.207	-3.922	288.079	198.825	87.761	152.258
-2.423	-4.814	-6.567	-4.513	34.430	60.096	129.620	114.768
