1,502,500,494,501,496,504,506,507,503,502,503,499,506,504,496,501,498,497,497,502,505,500,504,500,497,503,496,497,499,505,499,501,497,494,498,503,509,504,503,502,501,497,500,511,506,501,502,505,505,505,500,502,498,504,507,500,503,499,499,499,504,504,504,499,506,499,506,502,501,500,507,505,503,505,503,503,502,501,499,507,504,501,505,497,501,500,506,504,500,500,502,499,506,507,496,498,503,503,504,497,502,506,504,504,503,505,503,499,503,501,503,499,504,500,506,501,501,504,505,500,500,499,502,503,507,500,498,500,
9,503,500,507,496,502,500,500,496,505,501,506,500,498,501,503,504,501,500,502,500,508,501,501,506,505,504,507,499,501,504,497,496,502,503,502,493,501,505,499,501,505,504,500,503,503,504,496,497,500,497,504,495,497,503,499,499,503,505,501,505,501,502,503,503,502,505,504,497,504,504,501,500,503,504,504,503,501,501,506,504,500,499,502,501,504,501,502,495,500,506,504,504,499,503,507,500,502,506,504,504,502,498,503,510,495,508,500,496,500,502,503,502,503,498,502,507,503,500,499,508,505,505,502,500,499,505,504,506,
17,500,506,500,504,505,507,501,498,505,500,500,505,503,502,505,503,501,504,500,501,497,506,504,508,506,498,509,498,502,498,502,502,508,499,501,503,506,503,504,503,499,498,503,502,500,499,503,506,503,505,494,502,500,498,500,501,500,504,501,505,500,508,501,502,499,508,506,502,502,505,494,496,499,502,500,502,501,503,502,502,498,501,499,503,504,500,505,499,502,500,503,501,504,504,506,503,499,498,498,498,506,504,502,504,502,498,503,503,505,503,503,502,494,503,500,504,502,504,498,505,503,504,498,506,503,505,500,507,
25,505,499,501,501,501,503,504,502,502,504,501,506,502,503,499,505,502,505,502,500,499,497,503,501,501,501,495,500,500,503,502,507,499,506,498,507,502,500,502,496,496,497,504,501,497,503,500,503,504,501,506,505,498,506,504,505,501,502,503,499,498,503,503,500,501,503,508,508,504,507,507,502,503,500,504,503,504,498,500,508,501,501,505,505,500,500,503,503,504,505,497,497,501,494,496,501,499,498,500,506,499,508,501,502,503,501,502,500,504,505,501,506,501,509,502,496,498,502,510,501,507,502,508,502,508,503,505,500,
33,498,506,504,502,502,494,499,499,495,503,505,504,508,508,498,504,500,502,499,500,504,496,507,498,500,500,499,502,502,498,501,500,506,503,505,504,502,504,498,504,510,506,498,503,502,498,508,498,506,499,501,504,502,505,499,501,500,500,506,502,502,498,500,503,506,497,502,499,509,500,501,499,504,501,502,505,503,504,508,505,499,501,505,502,502,506,492,507,500,506,502,504,501,501,501,505,505,501,506,501,501,502,502,500,504,504,499,500,505,501,502,507,505,504,505,503,504,507,505,503,500,495,500,499,501,505,499,501,
41,500,500,492,495,502,501,503,509,503,498,501,501,495,498,502,502,500,501,502,506,505,506,503,502,506,509,506,504,500,503,507,501,501,498,503,497,499,502,507,501,500,502,506,499,503,506,501,495,498,505,497,505,504,498,507,507,505,503,498,504,504,504,508,496,500,496,502,505,501,503,502,501,499,502,504,501,498,505,503,494,503,499,504,505,503,505,500,497,504,496,504,503,501,500,504,503,505,505,504,503,502,500,507,498,502,500,503,506,503,504,504,496,500,502,501,498,501,503,497,499,501,504,503,506,499,501,510,494,
49,497,499,502,504,503,504,500,502,509,506,498,504,495,501,501,499,505,501,495,501,503,497,500,504,502,502,506,499,502,508,501,501,499,500,500,504,503,503,507,503,502,502,503,501,508,504,499,503,496,501,506,503,503,501,500,501,502,508,502,499,500,502,501,504,500,510,501,502,506,503,502,502,504,504,499,502,502,501,502,505,501,502,501,505,501,497,506,496,503,492,504,499,505,502,504,502,501,507,499,502,503,506,495,504,505,503,502,506,499,501,507,504,496,505,496,500,500,502,500,504,504,504,505,501,507,504,507,502,
57,501,498,509,499,501,500,503,496,497,501,501,507,505,501,502,506,500,497,504,500,500,508,504,499,502,498,498,499,500,497,501,501,498,501,504,505,501,503,498,506,506,500,501,504,502,497,501,506,507,502,505,498,500,502,504,496,503,497,502,502,500,505,497,499,510,505,503,503,502,499,503,503,502,503,496,500,500,501,507,506,505,506,502,503,498,501,504,505,500,506,501,504,503,505,504,503,496,503,508,503,503,502,507,508,504,503,501,501,506,503,500,504,504,504,502,506,500,503,509,504,508,504,502,501,500,502,499,505,
65,503,509,491,501,500,498,497,496,499,504,503,505,503,503,502,505,503,504,502,504,503,504,507,505,496,500,494,497,506,501,503,502,505,504,505,496,502,504,503,499,497,495,503,504,498,505,501,497,506,501,499,500,502,501,499,505,496,498,497,499,503,503,506,500,502,497,506,499,501,501,506,504,499,506,506,509,497,504,506,502,500,501,498,499,503,505,499,503,504,500,503,503,498,501,498,501,501,499,503,502,505,495,508,499,500,498,507,500,497,500,499,501,504,505,507,502,504,504,503,493,501,504,503,505,498,500,498,498,
73,504,504,502,501,507,503,502,507,508,500,502,499,497,505,505,501,500,504,498,504,495,501,494,505,509,505,504,507,490,500,499,502,497,504,502,499,497,492,501,506,500,505,508,498,505,505,503,502,495,501,499,510,501,502,503,503,499,500,502,504,501,502,509,504,501,499,503,502,510,499,503,502,504,498,504,496,501,508,497,498,503,500,502,498,502,499,502,501,498,504,498,500,496,504,495,501,504,500,505,501,498,503,499,497,503,505,499,508,502,506,501,501,504,503,501,499,506,494,502,505,495,496,501,505,502,505,506,506,
